land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school_km,wall_fence,house_age_or_renovated,water_front,distance_to_supermarket_km,property_value
170,150,3,1,0,1,1,0,3.3,1,13,0,6.9,148967
216,195,3,2,1,1,0,0,6.1,1,15,0,1.7,169678
526,467,8,6,1,1,1,1,3.4,1,17,0,1.6,412240
222,221,3,4,1,0,1,0,1.9,0,22,0,1.5,168635
260,260,4,2,1,1,1,1,2.6,1,6,0,1.1,237339
241,232,4,5,0,1,1,1,5.4,1,19,0,3.2,202974
287,282,4,3,1,0,1,1,4.7,1,18,0,4.4,241425
121,103,2,3,1,1,0,1,3.2,0,1,0,4.1,115115
143,139,1,1,0,0,0,0,4.8,0,13,0,6.2,94731
280,245,4,5,1,1,1,1,0.9,1,10,0,5.5,261252
632,567,8,6,1,1,1,1,1.4,1,13,0,5.7,504281
115,98,1,2,1,0,0,0,4.7,0,2,0,4.8,83126
205,175,3,3,1,0,1,0,1.3,0,18,1,1.8,185968
193,192,4,2,1,1,0,1,0.3,1,19,0,2.9,191189
231,215,5,3,1,1,1,1,4.6,1,18,0,1.1,205871
321,314,5,5,1,1,1,1,6.6,0,3,0,5.7,253049
331,308,5,3,1,1,1,0,3.7,1,8,0,5.8,266946
427,371,6,5,1,1,1,1,1.8,1,21,0,5.3,340204
162,145,3,4,0,1,0,0,2.5,1,4,0,6.9,137169
466,419,6,6,1,1,1,1,3.6,1,8,0,4.1,390883
206,187,4,3,1,1,1,1,1.4,1,18,0,2.2,195886
207,189,4,5,0,1,1,1,4.3,1,3,1,1.9,219522
201,181,3,2,0,1,1,0,3.8,0,3,0,3.3,163434
383,359,6,5,1,1,1,1,2.1,1,16,0,4.1,308306
134,131,1,2,1,0,0,0,3.6,0,19,0,5.3,95097
173,148,2,2,0,0,0,0,6.6,0,17,0,5.1,110294
155,139,3,1,0,1,0,0,6.7,1,15,0,6.2,116899
256,234,4,5,1,1,1,1,3.8,1,12,0,3.7,230975
317,299,6,7,1,1,1,1,5.8,0,16,0,0.1,254232
240,239,4,5,1,1,1,1,3.9,0,20,0,0.1,199198
260,235,4,4,1,1,1,1,0.6,1,17,0,5.8,238866
195,187,4,3,1,1,1,1,0.7,1,4,0,6.9,194770
116,100,1,1,0,0,0,0,2.7,0,14,0,3.3,85294
239,205,4,5,1,1,0,1,2.1,0,8,0,3.5,190298
234,221,3,3,1,0,1,0,3.3,1,15,0,0.3,192309
269,259,4,4,1,1,1,1,4.9,1,5,0,3.4,228329
156,142,3,1,0,1,1,0,1.6,1,15,0,1.7,148206
308,265,5,3,1,1,1,1,5.7,1,12,1,6.8,287601
216,211,4,5,1,1,1,1,1.7,0,11,0,2.1,187245
413,379,6,4,1,1,1,1,3.5,1,15,0,0.6,340804
103,102,1,2,1,0,0,0,0.4,0,16,0,5.3,91794
226,201,3,3,0,0,0,0,3.2,1,15,0,6.6,164687
224,210,4,2,0,1,0,0,4.7,1,18,0,5.1,170242
299,278,5,3,1,1,1,1,6.3,1,20,0,5.3,243523
182,177,2,2,0,0,0,1,6.2,0,3,1,1.2,163071
352,307,5,2,1,1,1,1,5.5,1,8,0,6.7,292348
239,213,3,2,1,1,1,0,2.9,1,21,0,4.5,198582
218,210,3,3,0,0,0,1,2.4,1,13,0,4.8,188790
469,427,6,6,1,1,1,1,0.1,0,14,0,3.5,367645
168,163,2,2,0,0,0,0,1.6,0,9,0,4.6,126900
146,128,2,3,0,1,1,0,4.3,0,19,0,5.5,114111
218,211,4,5,1,1,0,1,4.7,1,22,0,5.9,184367
286,259,4,5,1,1,1,1,1.6,0,21,0,6.3,221498
196,172,4,3,1,1,1,0,1.8,0,7,0,3.6,165923
199,189,4,2,1,1,1,1,2.5,1,7,0,5.9,191043
258,241,4,4,1,1,0,0,3.3,1,22,0,4.7,198295
298,282,5,4,1,1,1,1,5.5,0,9,0,5.6,231006
351,302,5,3,1,1,0,1,0.2,1,19,0,3.2,286960
331,295,5,3,1,1,1,1,3.5,1,10,0,6.1,278926
707,706,8,8,1,1,1,1,4.6,1,8,1,4.2,640799
131,114,1,1,1,0,0,0,3.3,0,4,0,4.2,98283
111,100,1,1,1,1,1,0,6.2,0,7,0,5.3,95465
339,319,5,3,1,1,1,1,6.2,1,3,0,1.5,289110
351,349,5,4,1,0,1,1,5.7,1,13,0,2.6,291419
575,510,7,5,1,1,1,1,5.6,1,14,0,2.6,462752
199,190,3,1,1,0,0,0,2.9,1,14,0,0.1,167736
335,301,5,5,1,1,1,1,1.1,1,9,0,3.3,294837
564,550,7,5,1,1,1,1,0.4,1,9,0,6.5,467415
188,184,2,1,1,0,0,1,1.2,0,11,0,1.1,161903
201,199,3,1,1,0,0,0,5.3,1,10,0,3.7,157979
282,242,5,3,0,1,1,1,1.3,1,3,0,0.7,255781
208,195,3,4,1,0,0,0,1.9,1,6,0,3.6,167107
328,313,5,5,1,1,1,1,4.1,0,17,0,6.5,248604
339,306,5,3,0,1,1,1,2.8,1,14,0,5.9,281920
178,176,2,1,1,0,1,0,3.2,1,9,0,0.1,151071
172,170,2,3,0,0,0,0,1.4,0,18,0,0.3,132360
235,228,3,2,1,1,0,0,1.9,1,17,0,0.4,202815
213,198,3,1,0,1,0,1,5.7,0,17,0,6.3,161826
294,285,5,5,1,1,1,1,1.6,1,7,0,2.1,258167
106,103,1,1,1,0,0,0,0.9,0,14,0,3.5,89072
526,458,7,8,1,1,1,1,6.4,1,12,0,5.2,421954
237,222,3,3,1,1,1,0,0.2,0,10,0,6.3,193940
125,116,2,3,0,1,0,1,6.9,0,2,0,3.2,114584
251,219,4,4,1,1,1,1,5.6,1,13,0,3.2,227815
220,199,4,5,1,1,1,0,6.1,0,2,0,1.9,175924
347,326,5,5,1,1,1,1,0.2,1,4,0,1.1,319758
352,315,6,5,1,1,1,1,4.5,1,22,0,0.2,297288
213,198,4,2,1,1,1,1,1.3,1,19,0,6.2,195189
240,204,4,4,0,1,0,1,4.8,0,16,0,4.2,178787
287,248,5,4,1,1,0,1,3.5,1,9,0,1.7,250120
218,192,3,1,1,1,0,1,5.4,1,15,0,0.8,188763
295,276,4,5,1,1,1,0,4.3,1,18,0,3.2,230604
269,232,4,5,1,1,1,1,2.8,1,16,0,5.3,240359
732,670,8,8,1,1,1,1,0.3,1,15,0,3.4,591816
292,260,4,5,1,1,1,1,6.3,0,17,0,6.6,222466
326,300,5,4,1,1,1,0,0.9,1,22,0,3.3,270426
302,298,5,5,1,1,1,1,6.4,1,13,0,1.9,261252
237,218,3,3,0,1,0,0,2.6,1,2,0,5.6,189833
462,432,7,6,1,1,1,1,5.5,1,22,0,5.3,366186
121,116,1,2,0,0,1,0,3.2,0,22,0,6.2,87881
290,286,4,2,1,1,0,1,0.7,1,17,0,4.4,251305
170,169,3,4,1,0,0,0,6.2,0,4,0,1.6,129088
171,165,3,2,1,1,0,1,5.4,0,22,0,2.1,137433
284,277,4,2,1,1,1,1,6.2,1,2,0,0.1,253845
219,191,4,2,1,1,0,1,2.4,1,1,0,5.4,197193
270,259,4,2,0,1,1,1,0.5,1,9,0,3.7,238470
126,118,1,1,0,1,0,0,3.9,0,20,0,2.2,98482
311,293,5,3,1,1,1,1,5.3,1,20,0,3.9,256228
228,197,4,2,1,1,1,1,0.2,1,15,0,1.1,229994
195,194,4,3,1,1,1,1,5.8,1,20,0,1.6,174977
150,148,2,3,0,0,0,0,5.3,0,3,0,2.5,106886
189,172,2,1,1,1,0,0,6.6,1,11,0,5.2,144401
297,274,4,2,0,1,0,1,3.9,1,9,0,2.1,243897
254,241,4,2,1,1,1,1,2.4,1,15,0,4.3,224372
105,103,1,2,1,0,0,0,4.2,0,8,0,1.2,80533
326,318,5,4,1,1,1,1,2.5,1,20,0,3.1,267892
233,231,5,5,1,1,1,1,3.8,1,20,0,6.7,203336
346,329,5,5,1,1,1,1,0.6,1,21,0,1.9,301200
184,157,3,2,1,0,1,0,5.7,1,2,0,0.8,163295
167,167,3,1,1,0,0,1,1.1,1,2,0,2.5,161162
221,196,4,4,1,1,1,1,2.7,0,4,0,6.7,198767
257,256,4,3,1,0,0,1,5.1,1,19,0,0.8,214670
139,120,2,2,0,0,0,0,3.5,0,14,0,5.3,95990
404,387,6,6,1,1,1,1,6.4,1,14,0,5.9,330497
181,175,2,1,1,1,1,0,2.7,0,11,0,3.1,142115
284,276,4,5,1,1,1,0,4.6,0,3,0,0.5,206572
249,244,5,5,1,1,1,0,3.9,1,10,0,6.3,203842
309,304,5,4,1,0,1,0,5.4,1,8,0,3.6,242413
158,137,3,2,1,1,0,0,3.8,1,15,0,2.7,129379
215,191,3,2,1,0,0,0,1.3,0,5,0,3.1,165031
327,280,5,3,1,1,1,0,0.2,1,8,1,4.7,325521
301,261,4,2,1,1,1,1,4.4,0,5,0,1.8,243912
194,191,4,5,0,0,0,1,2.5,1,18,0,2.4,166048
285,272,4,3,1,1,0,0,1.3,1,17,0,6.6,228433
147,135,2,2,0,1,0,0,4.7,0,22,0,2.3,109282
222,210,3,1,0,1,0,0,2.8,1,1,0,3.6,190212
102,97,1,1,0,0,0,0,0.9,0,4,0,1.2,89792
119,102,1,1,0,1,0,0,1.2,0,17,0,3.7,94144
287,251,4,5,1,1,1,1,1.7,1,20,0,4.2,249480
594,558,7,7,1,1,1,1,1.7,1,7,0,5.9,479400
273,259,4,5,1,1,1,1,1.3,1,12,0,1.4,244707
323,310,6,4,1,1,1,1,0.6,1,2,0,4.6,291668
209,207,3,3,0,0,0,0,4.5,0,8,0,4.7,149334
321,308,5,5,1,1,1,1,6.8,1,11,0,3.6,267085
315,277,5,2,1,1,1,1,3.9,1,3,0,4.2,279219
201,187,4,5,1,1,1,1,3.9,1,12,0,3.8,187943
276,265,4,2,1,1,1,0,5.9,1,3,0,1.5,225128
204,195,3,3,1,1,0,1,5.5,1,1,0,5.8,187200
200,198,4,5,1,1,0,1,6.5,0,16,0,2.6,158180
282,280,4,4,1,0,1,0,6.8,1,18,0,0.4,221680
262,261,5,3,1,1,1,1,0.3,1,2,0,6.5,245510
200,193,3,4,1,1,1,0,1.4,1,12,0,1.1,175929
389,356,6,6,1,1,1,1,3.7,1,21,0,6.4,315069
350,345,6,7,1,1,1,1,2.4,1,10,0,0.3,310008
291,252,5,5,1,1,1,1,5.1,1,20,0,5.6,246855
304,299,5,3,1,0,1,1,0.1,1,1,0,0.5,273545
245,237,5,3,1,1,1,1,1.3,1,20,0,2.6,219714
247,229,4,2,1,1,0,1,3.5,1,15,0,6.5,208640
236,212,4,2,0,1,1,0,5.7,1,6,1,3.7,224137
304,266,4,2,1,1,0,1,0.9,1,9,0,4.9,261871
150,146,1,2,1,0,0,0,4.4,0,11,0,3.1,106990
302,279,4,4,1,1,1,1,1.4,1,16,0,2.5,260078
289,267,4,4,1,1,1,1,2.9,1,11,0,6.8,263038
120,103,1,1,0,1,0,0,0.7,0,11,0,5.1,103113
126,119,2,1,0,1,0,1,1.2,0,10,0,0.8,122611
223,221,4,2,1,0,0,1,6.1,0,7,0,1.3,176167
238,228,4,5,0,1,0,1,1.8,1,4,0,5.8,214198
451,411,6,6,1,1,1,1,2.4,1,16,0,5.3,379613
102,89,1,2,0,1,1,0,3.7,0,14,0,3.5,97238
281,257,4,5,1,1,1,1,0.9,1,12,0,1.3,260126
275,234,4,2,1,1,0,1,4.6,0,9,0,4.8,207561
213,182,3,4,1,1,1,0,4.5,1,7,0,6.4,183886
279,268,4,5,1,1,1,1,0.6,1,13,0,5.1,255047
100,92,1,1,1,1,0,0,6.1,0,9,0,5.7,76163
164,153,3,3,1,1,1,0,6.9,1,17,0,0.3,144818
243,208,5,3,1,1,1,1,2.4,1,4,0,1.9,237093
129,126,1,2,0,0,0,0,1.7,0,11,0,3.5,93585
121,111,2,1,1,1,1,0,4.6,0,8,0,3.2,101814
192,168,4,2,1,1,1,1,6.8,1,22,0,4.3,173650
202,193,3,3,0,0,1,0,0.3,0,11,0,2.4,162675
270,245,4,5,1,1,1,0,0.1,1,15,0,5.9,231698
155,151,2,3,0,0,0,0,3.2,0,16,0,2.4,109835
256,253,4,3,1,1,0,1,1.4,1,18,0,3.7,222113
326,318,5,4,1,1,1,1,4.5,1,16,0,1.2,273499
371,334,6,6,1,1,1,1,5.6,1,20,0,3.6,305008
210,182,4,4,1,1,1,1,0.6,0,9,0,4.4,189201
185,184,2,1,0,0,0,0,3.8,0,9,0,2.5,126769
158,137,3,4,0,0,0,1,6.6,1,16,0,4.2,130108
126,118,1,2,0,0,0,0,1.5,0,19,0,3.1,93483
214,187,4,5,0,1,1,1,4.5,1,20,0,0.7,201830
133,131,2,3,1,0,0,0,1.5,0,14,0,6.3,98307
294,263,4,3,1,1,1,1,3.4,0,8,0,5.9,242104
275,237,4,2,1,1,1,1,2.8,1,11,0,3.4,249572
347,347,5,3,1,0,1,1,4.5,1,5,0,0.6,287167
186,166,3,1,0,0,0,0,4.7,0,5,0,1.6,131962
335,288,5,2,1,1,1,1,0.6,1,5,0,1.9,299785
488,474,7,5,1,1,0,1,6.3,1,15,0,2.6,395292
236,225,3,2,1,1,0,0,1.2,0,11,0,4.9,173890
230,219,3,1,0,1,0,0,2.3,1,12,0,3.8,181709
210,188,3,1,1,1,1,0,4.1,0,4,0,6.5,160753
507,507,7,7,1,1,1,1,4.1,1,10,0,2.8,402757
126,125,2,1,0,0,0,0,1.6,1,14,0,0.4,110839
279,252,4,5,1,1,1,1,3.3,1,9,0,3.1,241208
349,344,5,2,1,0,1,1,5.7,1,17,0,0.6,275009
230,208,5,3,1,1,1,1,3.2,1,16,0,5.5,207885
279,266,4,2,1,1,1,1,2.8,1,2,0,3.4,253296
183,181,2,2,0,0,0,1,2.2,0,8,0,1.3,152913
229,209,3,1,1,1,0,0,5.8,0,15,0,3.9,157595
220,220,4,4,1,1,1,1,0.6,1,1,0,0.9,216138
225,218,3,1,0,1,0,1,2.9,0,12,0,1.3,185394
220,208,3,4,0,0,1,0,6.1,0,9,0,1.3,157810
141,129,1,2,0,1,0,0,3.4,0,6,0,2.4,110474
300,300,4,4,0,0,1,1,5.4,0,8,0,3.2,218509
295,256,5,5,1,1,1,1,2.3,1,9,0,6.7,261293
258,252,4,2,1,1,1,1,2.1,1,16,0,0.6,235527
232,227,3,4,1,0,0,0,5.7,1,14,0,2.3,184198
211,210,4,3,1,1,1,1,1.7,1,18,0,0.4,202799
213,208,4,3,1,1,1,1,2.2,1,3,0,0.9,202835
228,221,4,5,1,1,0,1,6.7,1,16,0,2.6,195548
123,107,1,1,0,0,0,0,3.7,0,19,0,5.4,84138
219,208,3,4,0,1,0,0,5.7,1,6,0,4.3,167463
206,197,3,2,1,0,1,0,1.6,1,1,0,6.3,173965
278,251,4,2,1,1,1,1,0.1,0,15,0,2.9,230183
306,262,4,5,1,1,0,1,2.9,1,18,0,4.3,250279
232,217,3,4,0,1,1,0,5.1,1,20,0,2.6,187804
235,214,3,1,0,0,1,0,0.1,0,12,0,2.3,185883
264,245,4,2,1,1,1,1,1.2,1,17,0,4.2,228807
159,151,3,3,1,1,0,0,5.4,1,2,0,4.4,135266
116,111,1,2,0,0,0,0,2.2,1,15,0,0.7,102340
203,192,4,5,1,1,0,1,1.8,1,6,0,5.5,186757
212,192,4,3,1,1,1,0,2.3,1,19,0,3.9,182300
232,220,3,2,0,1,1,0,4.2,0,22,0,1.7,168894
144,127,2,2,0,1,0,0,4.3,0,4,0,3.4,105466
216,211,3,4,1,0,0,1,5.4,0,9,0,6.3,169466
178,178,3,1,0,0,0,1,5.8,1,8,0,2.6,150320
221,193,3,2,1,0,0,0,2.1,1,5,0,3.6,177902
277,248,4,3,1,1,1,0,0.2,1,2,0,6.4,244128
293,290,5,5,0,1,0,1,3.9,1,17,0,0.1,247120
223,211,3,2,1,1,0,0,6.2,0,4,0,5.9,157153
208,178,4,2,1,1,1,1,0.7,1,12,0,2.9,207652
281,246,4,3,1,1,1,0,5.6,1,8,0,5.5,226876
235,205,5,2,1,1,1,1,5.1,1,9,0,0.9,216412
137,137,1,1,1,0,0,0,5.9,0,15,0,0.9,99727
267,266,4,2,1,0,1,1,5.4,1,7,0,5.5,223885
246,216,4,3,1,1,1,1,1.5,1,2,0,1.7,234263
212,209,3,2,1,0,0,0,3.3,0,5,0,6.1,153839
196,181,4,3,0,1,1,0,2.2,0,22,0,2.7,149959
258,244,5,5,1,1,1,1,5.3,1,5,0,3.6,232541
217,193,4,3,1,1,0,1,5.6,0,2,0,4.6,169288
309,282,4,4,1,1,0,1,5.8,1,12,0,0.5,267804
230,201,3,4,0,1,0,0,5.7,1,3,0,1.1,179740
274,248,5,5,1,1,1,1,3.3,1,12,0,2.1,245667
161,161,3,4,1,0,0,1,2.1,1,16,0,1.2,151050
306,302,5,4,1,1,1,1,2.5,1,20,0,2.1,257893
111,111,1,2,1,0,0,0,2.6,0,21,1,4.1,95803
157,155,2,1,1,0,0,1,4.6,0,2,0,0.8,136818
131,113,2,3,0,0,0,1,2.4,0,11,0,6.4,108452
123,113,2,2,0,1,0,0,4.8,0,3,0,6.7,93014
190,189,4,5,1,1,1,1,3.1,1,12,0,1.8,176741
266,242,4,3,1,1,1,0,4.9,1,3,0,0.6,225185
200,193,4,4,0,1,1,1,0.8,1,10,0,5.5,190918
258,258,5,2,1,1,1,1,2.9,0,19,0,2.7,203467
471,403,8,8,1,1,1,1,3.9,1,7,0,2.6,394124
207,190,3,2,0,0,1,0,6.9,1,21,0,1.4,156738
251,244,4,4,1,1,0,1,2.5,1,8,0,0.7,226594
242,234,4,3,0,1,1,1,0.4,1,19,0,2.5,221260
354,305,5,2,1,1,1,1,6.1,1,21,0,4.7,281915
293,274,5,5,1,1,1,1,0.1,1,4,0,0.8,284599
165,164,3,2,0,0,1,0,5.1,1,9,1,3.6,146047
145,136,2,2,1,1,0,0,6.6,0,3,0,6.9,107829
216,205,4,3,1,1,1,1,6.5,1,16,0,4.9,189533
192,185,4,3,0,1,1,1,6.1,1,10,0,1.6,173671
238,210,5,3,1,1,1,1,4.6,1,11,0,5.3,213561
169,145,3,4,1,0,0,1,2.2,1,5,0,4.4,154312
113,107,1,1,0,1,0,1,3.3,0,18,0,2.5,103785
215,197,3,4,1,1,1,0,5.2,0,1,0,1.4,172421
258,256,5,3,1,0,1,1,5.1,1,13,0,6.7,211230
285,272,5,2,1,1,1,1,4.5,1,12,0,0.8,245571
165,155,3,3,0,0,0,1,5.8,1,19,0,2.8,137393
278,262,4,2,1,1,1,1,4.3,1,12,0,0.4,245958
129,111,1,1,0,0,0,0,2.5,0,22,0,0.9,96856
201,201,4,5,1,0,1,1,3.5,1,10,0,4.4,179446
287,284,5,5,1,0,1,1,2.1,1,10,0,5.8,246923
191,186,3,1,1,0,0,0,6.6,1,9,1,2.4,171663
166,152,2,1,0,0,0,1,2.4,0,1,0,2.1,137095
178,163,2,2,0,1,0,1,5.5,0,1,0,2.4,145329
169,156,3,2,1,1,0,0,4.8,1,8,0,3.3,143553
232,200,3,3,0,1,0,0,1.4,0,16,0,6.8,163459
314,304,5,2,0,1,1,0,4.9,1,5,0,4.1,249245
288,254,4,3,1,1,1,1,6.3,1,9,0,0.8,256141
340,290,5,3,1,1,1,1,1.9,1,7,0,4.1,298980
188,186,3,4,1,0,0,1,5.7,0,14,0,5.1,148709
206,189,3,4,0,1,0,0,1.5,1,15,0,0.9,169983
209,207,4,2,1,1,1,1,4.2,1,21,0,1.2,181682
172,148,2,1,0,0,0,0,2.3,0,15,0,6.5,121391
121,118,1,2,0,0,0,0,6.3,0,6,0,3.2,87662
110,100,1,1,1,0,0,0,6.5,1,17,0,6.8,82155
230,203,4,4,1,1,1,1,3.4,1,17,0,1.2,213605
143,132,1,1,0,1,0,0,2.8,1,7,0,5.6,124148
183,173,2,1,0,1,0,1,0.7,0,6,0,1.7,165920
226,215,3,3,1,1,1,0,0.2,1,11,0,1.7,209899
265,255,4,3,1,1,1,0,5.1,1,19,0,1.5,206413
421,389,7,5,1,1,1,1,3.4,1,22,0,2.9,348163
151,142,3,3,0,1,0,0,5.6,1,16,0,0.9,126084
410,362,7,7,1,1,1,1,2.7,1,15,0,3.2,341764
117,110,1,1,0,0,0,0,6.1,0,15,0,1.9,78995
205,203,4,5,0,0,0,1,1.3,1,18,0,5.5,173615
216,214,3,3,0,0,1,0,5.9,1,22,0,1.6,159920
166,142,3,3,1,1,0,0,4.3,1,10,0,3.5,141623
304,268,5,4,1,1,1,1,4.1,1,9,0,1.6,270377
317,276,5,3,1,1,1,1,4.5,1,16,1,3.9,309368
128,112,1,1,0,0,0,0,1.1,0,20,0,3.4,94598
297,267,4,3,1,1,0,1,3.2,1,2,0,2.4,258670
251,239,5,5,1,1,1,0,2.4,1,7,0,1.3,220970
315,281,5,3,1,1,1,1,4.7,1,13,0,5.6,269111
154,149,3,2,0,0,0,1,1.6,1,13,0,1.4,143697
334,295,5,4,1,1,1,1,2.2,1,6,0,3.7,298037
301,295,4,2,1,1,1,1,6.2,0,18,0,4.7,218490
304,264,5,5,1,1,1,1,2.4,1,21,0,0.7,261834
229,196,4,4,1,1,1,1,3.2,1,1,0,6.4,220827
301,274,4,4,1,1,1,0,4.7,0,14,0,3.1,211931
183,160,3,1,0,0,1,0,4.2,0,3,1,2.8,163801
265,240,4,3,1,1,1,1,5.1,0,3,1,0.5,254359
287,245,5,4,1,1,1,1,5.9,1,19,0,1.6,242143
182,164,2,3,0,1,0,1,5.7,0,18,0,6.8,140158
150,148,1,2,0,0,0,0,6.1,0,17,0,4.9,101726
337,318,5,3,1,1,1,1,5.5,1,22,0,3.7,275508
235,223,4,4,1,1,1,0,3.8,1,11,0,1.3,195147
340,309,5,2,1,1,0,1,2.6,1,21,0,5.3,272989
230,211,4,4,1,1,1,1,6.7,0,8,0,6.8,185506
497,439,7,8,1,1,1,1,3.4,1,19,0,3.1,400253
360,359,5,5,1,1,1,1,2.5,1,18,0,3.2,292232
321,287,6,7,1,1,1,1,3.1,1,6,1,2.5,314944
256,245,4,4,1,1,1,1,4.5,1,10,0,0.9,230458
173,157,2,1,0,1,0,1,4.5,0,11,0,3.2,136308
294,292,4,5,1,0,1,1,4.5,1,16,0,2.1,238172
300,292,5,2,1,1,1,1,4.1,1,17,0,3.6,257026
256,243,4,4,1,1,1,1,0.1,0,3,0,5.3,225540
235,203,4,4,0,1,1,1,3.6,1,3,0,3.6,217564
165,146,3,3,1,0,1,0,6.1,0,10,0,2.9,129492
303,271,4,3,1,1,1,1,5.4,1,2,0,1.1,266487
169,156,2,2,1,1,0,0,6.2,0,21,0,6.5,115348
280,260,4,4,0,1,1,1,6.7,1,17,0,2.8,236730
263,247,4,3,1,1,1,1,0.1,1,18,0,4.9,246569
146,131,1,2,0,1,0,0,0.4,0,22,0,1.5,127043
211,186,3,2,1,1,0,0,3.3,0,9,0,0.6,161953
152,135,3,4,0,0,0,1,1.1,0,6,0,3.3,130185
137,131,1,2,0,0,0,0,1.8,0,1,0,3.5,111152
267,240,5,5,1,1,1,1,1.2,1,10,0,1.4,245750
175,164,3,4,0,0,1,0,6.2,0,7,0,6.6,118820
284,253,5,3,0,1,1,1,2.2,0,3,0,3.3,233371
124,123,1,1,0,0,0,0,5.2,0,8,0,2.9,86191
221,190,3,4,1,1,1,0,2.7,0,16,1,3.3,205711
216,202,4,4,1,1,0,1,1.2,1,22,0,6.3,190636
222,221,4,5,1,0,1,1,4.7,1,2,0,3.3,199669
215,212,4,3,1,1,0,1,4.1,0,21,0,5.8,169023
