land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school_km,wall_fence,house_age_or_renovated,water_front,distance_to_supermarket_km,property_value
533,519,7,8.0,1,1,1,1,6.4,1,8,0,6.7,429728.0
103,93,1,1.0,0,0,0,0,3.2,1,8,0,1.6,86758.0
173,168,2,3.0,1,0,0,1,0.5,0,11,0,3.7,151869.0
212,192,3,1.0,1,0,0,0,2.2,1,11,0,2.2,166050.0
228,204,3,4.0,0,0,1,0,2.6,1,2,0,5.4,190353.0
283,269,5,3.0,0,1,1,1,2.2,1,20,0,,241213.0
240,217,3,1.0,1,0,0,0,2.1,0,5,0,6.2,166322.0
239,205,3,4.0,0,1,1,0,3.5,0,1,0,4.8,191003.0
362,340,6,7.0,1,1,1,1,6.2,0,11,0,1.9,287151.0
357,343,5,3.0,1,1,0,1,0.1,1,15,0,2.2,313459.0
177,168,2,2.0,0,1,0,0,3.1,0,13,1,6.2,145180.0
145,143,1,2.0,1,0,0,0,1.8,0,13,0,5.5,108200.0
189,162,3,4.0,0,1,0,1,4.5,1,1,1,5.3,188037.0
126,118,2,2.0,0,1,0,0,3.3,0,19,0,5.4,93659.0
353,350,5,5.0,1,1,1,1,5.4,1,6,0,0.8,302704.0
245,213,5,3.0,1,1,1,1,3.7,1,4,0,3.1,230745.0
297,257,5,5.0,1,1,1,0,1.5,1,18,0,1.2,246619.0
214,183,4,3.0,0,1,0,0,4.6,1,11,0,,169499.0
238,224,4,4.0,0,1,1,1,1.3,1,8,0,0.6,221067.0
178,161,2,2.0,0,0,0,0,4.6,0,1,0,5.4,124997.0
323,282,5,4.0,1,1,0,1,6.1,0,11,0,6.3,238567.0
152,142,2,3.0,0,0,0,0,4.4,0,11,0,3.2,104022.0
149,140,2,3.0,0,1,0,0,0.3,0,21,0,4.9,121854.0
238,205,3,2.0,0,1,0,1,3.8,1,22,0,6.3,195338.0
236,215,4,,0,1,1,1,3.2,1,20,0,0.3,213763.0
256,233,5,5.0,1,1,1,1,4.7,1,11,0,0.8,241239.0
297,294,5,2.0,1,1,1,1,3.2,1,2,0,1.9,260821.0
475,451,7,6.0,1,1,1,1,5.3,1,17,0,2.1,367476.0
132,128,2,2.0,0,0,0,1,5.6,0,11,0,0.5,111192.0
170,150,3,1.0,0,1,1,0,3.3,1,13,0,6.9,148967.0
216,195,3,2.0,1,1,0,0,6.1,1,15,0,1.7,169678.0
526,467,8,6.0,1,1,1,1,3.4,1,17,0,1.6,412240.0
222,221,3,4.0,1,0,1,0,1.9,0,22,0,1.5,168635.0
260,260,4,2.0,1,1,1,1,2.6,1,6,0,1.1,237339.0
241,232,4,5.0,0,1,1,1,5.4,1,19,0,3.2,202974.0
287,282,4,3.0,1,0,1,1,4.7,1,18,0,4.4,241425.0
121,103,2,3.0,1,1,0,1,3.2,0,1,0,4.1,115115.0
143,139,1,1.0,0,0,0,0,4.8,0,13,0,6.2,94731.0
280,245,4,5.0,1,1,1,1,0.9,1,10,0,5.5,261252.0
632,567,8,6.0,1,1,1,1,1.4,1,13,0,5.7,504281.0
115,98,1,2.0,1,0,0,0,4.7,0,2,0,4.8,83126.0
205,175,3,3.0,1,0,1,0,1.3,0,18,1,1.8,185968.0
193,192,4,2.0,1,1,0,1,0.3,1,19,0,2.9,191189.0
231,215,5,3.0,1,1,1,1,4.6,1,18,0,1.1,205871.0
321,314,5,5.0,1,1,1,1,6.6,0,3,0,5.7,253049.0
331,308,5,3.0,1,1,1,0,3.7,1,8,0,5.8,266946.0
427,371,6,5.0,1,1,1,1,1.8,1,21,0,5.3,340204.0
162,145,3,4.0,0,1,0,0,2.5,1,4,0,6.9,137169.0
466,419,6,6.0,1,1,1,1,3.6,1,8,0,4.1,390883.0
206,187,4,3.0,1,1,1,1,1.4,1,18,0,2.2,195886.0
207,189,4,5.0,0,1,1,1,4.3,1,3,1,1.9,219522.0
201,181,3,2.0,0,1,1,0,3.8,0,3,0,3.3,163434.0
383,359,6,5.0,1,1,1,1,2.1,1,16,0,4.1,308306.0
134,131,1,2.0,1,0,0,0,3.6,0,19,0,5.3,95097.0
173,148,2,2.0,0,0,0,0,6.6,0,17,0,5.1,110294.0
155,139,3,1.0,0,1,0,0,6.7,1,15,0,6.2,116899.0
256,234,4,5.0,1,1,1,1,3.8,1,12,0,3.7,230975.0
317,299,6,7.0,1,1,1,1,5.8,0,16,0,0.1,254232.0
240,239,4,5.0,1,1,1,1,3.9,0,20,0,0.1,199198.0
260,235,4,4.0,1,1,1,1,0.6,1,17,0,5.8,238866.0
195,187,4,3.0,1,1,1,1,0.7,1,4,0,6.9,194770.0
116,100,1,1.0,0,0,0,0,2.7,0,14,0,3.3,85294.0
239,205,4,5.0,1,1,0,1,2.1,0,8,0,3.5,190298.0
234,221,3,3.0,1,0,1,0,3.3,1,15,0,0.3,192309.0
269,259,4,4.0,1,1,1,1,4.9,1,5,0,3.4,228329.0
156,142,3,1.0,0,1,1,0,1.6,1,15,0,1.7,148206.0
308,265,5,3.0,1,1,1,1,5.7,1,12,1,6.8,287601.0
216,211,4,5.0,1,1,1,1,1.7,0,11,0,2.1,187245.0
413,379,6,4.0,1,1,1,1,3.5,1,15,0,0.6,340804.0
103,102,1,2.0,1,0,0,0,0.4,0,16,0,5.3,91794.0
226,201,3,3.0,0,0,0,0,3.2,1,15,0,,164687.0
224,210,4,2.0,0,1,0,0,4.7,1,18,0,5.1,170242.0
299,278,5,3.0,1,1,1,1,6.3,1,20,0,5.3,243523.0
182,177,2,2.0,0,0,0,1,6.2,0,3,1,1.2,163071.0
352,307,5,2.0,1,1,1,1,5.5,1,8,0,6.7,292348.0
239,213,3,2.0,1,1,1,0,2.9,1,21,0,4.5,198582.0
218,210,3,3.0,0,0,0,1,2.4,1,13,0,4.8,188790.0
469,427,6,6.0,1,1,1,1,0.1,0,14,0,3.5,367645.0
168,163,2,2.0,0,0,0,0,1.6,0,9,0,,126900.0
146,128,2,3.0,0,1,1,0,4.3,0,19,0,5.5,114111.0
218,211,4,5.0,1,1,0,1,4.7,1,22,0,5.9,184367.0
286,259,4,5.0,1,1,1,1,1.6,0,21,0,,221498.0
196,172,4,3.0,1,1,1,0,1.8,0,7,0,3.6,165923.0
199,189,4,2.0,1,1,1,1,2.5,1,7,0,5.9,191043.0
258,241,4,4.0,1,1,0,0,3.3,1,22,0,4.7,198295.0
298,282,5,4.0,1,1,1,1,5.5,0,9,0,5.6,231006.0
351,302,5,3.0,1,1,0,1,0.2,1,19,0,3.2,286960.0
331,295,5,3.0,1,1,1,1,3.5,1,10,0,6.1,278926.0
707,706,8,8.0,1,1,1,1,4.6,1,8,1,4.2,640799.0
131,114,1,1.0,1,0,0,0,3.3,0,4,0,4.2,98283.0
111,100,1,1.0,1,1,1,0,6.2,0,7,0,5.3,95465.0
339,319,5,3.0,1,1,1,1,6.2,1,3,0,1.5,289110.0
351,349,5,4.0,1,0,1,1,5.7,1,13,0,,291419.0
575,510,7,5.0,1,1,1,1,5.6,1,14,0,2.6,462752.0
199,190,3,1.0,1,0,0,0,2.9,1,14,0,0.1,167736.0
335,301,5,5.0,1,1,1,1,1.1,1,9,0,,294837.0
564,550,7,5.0,1,1,1,1,0.4,1,9,0,6.5,467415.0
188,184,2,1.0,1,0,0,1,1.2,0,11,0,1.1,161903.0
201,199,3,1.0,1,0,0,0,5.3,1,10,0,3.7,157979.0
282,242,5,3.0,0,1,1,1,1.3,1,3,0,0.7,255781.0
208,195,3,4.0,1,0,0,0,1.9,1,6,0,3.6,167107.0
328,313,5,5.0,1,1,1,1,4.1,0,17,0,6.5,248604.0
339,306,5,3.0,0,1,1,1,2.8,1,14,0,5.9,281920.0
178,176,2,1.0,1,0,1,0,3.2,1,9,0,,151071.0
172,170,2,3.0,0,0,0,0,1.4,0,18,0,0.3,132360.0
235,228,3,2.0,1,1,0,0,1.9,1,17,0,0.4,202815.0
213,198,3,1.0,0,1,0,1,5.7,0,17,0,6.3,161826.0
294,285,5,5.0,1,1,1,1,1.6,1,7,0,2.1,258167.0
106,103,1,1.0,1,0,0,0,0.9,0,14,0,3.5,89072.0
526,458,7,8.0,1,1,1,1,6.4,1,12,0,5.2,421954.0
237,222,3,3.0,1,1,1,0,0.2,0,10,0,6.3,193940.0
125,116,2,3.0,0,1,0,1,6.9,0,2,0,3.2,114584.0
251,219,4,4.0,1,1,1,1,5.6,1,13,0,3.2,227815.0
220,199,4,5.0,1,1,1,0,6.1,0,2,0,1.9,175924.0
347,326,5,5.0,1,1,1,1,0.2,1,4,0,1.1,319758.0
352,315,6,5.0,1,1,1,1,4.5,1,22,0,0.2,297288.0
213,198,4,2.0,1,1,1,1,1.3,1,19,0,6.2,195189.0
240,204,4,4.0,0,1,0,1,4.8,0,16,0,4.2,178787.0
287,248,5,4.0,1,1,0,1,3.5,1,9,0,1.7,250120.0
218,192,3,1.0,1,1,0,1,5.4,1,15,0,0.8,188763.0
295,276,4,5.0,1,1,1,0,4.3,1,18,0,3.2,230604.0
269,232,4,5.0,1,1,1,1,2.8,1,16,0,5.3,240359.0
732,670,8,8.0,1,1,1,1,0.3,1,15,0,3.4,591816.0
292,260,4,5.0,1,1,1,1,6.3,0,17,0,6.6,222466.0
326,300,5,4.0,1,1,1,0,0.9,1,22,0,3.3,270426.0
302,298,5,5.0,1,1,1,1,6.4,1,13,0,1.9,261252.0
237,218,3,3.0,0,1,0,0,2.6,1,2,0,5.6,189833.0
462,432,7,6.0,1,1,1,1,5.5,1,22,0,5.3,366186.0
121,116,1,2.0,0,0,1,0,3.2,0,22,0,6.2,87881.0
290,286,4,2.0,1,1,0,1,0.7,1,17,0,4.4,251305.0
170,169,3,4.0,1,0,0,0,6.2,0,4,0,1.6,129088.0
171,165,3,2.0,1,1,0,1,5.4,0,22,0,2.1,137433.0
284,277,4,2.0,1,1,1,1,6.2,1,2,0,0.1,253845.0
219,191,4,2.0,1,1,0,1,2.4,1,1,0,5.4,197193.0
270,259,4,2.0,0,1,1,1,0.5,1,9,0,3.7,238470.0
126,118,1,1.0,0,1,0,0,3.9,0,20,0,2.2,98482.0
311,293,5,3.0,1,1,1,1,5.3,1,20,0,3.9,256228.0
228,197,4,2.0,1,1,1,1,0.2,1,15,0,1.1,229994.0
195,194,4,3.0,1,1,1,1,5.8,1,20,0,1.6,174977.0
150,148,2,3.0,0,0,0,0,5.3,0,3,0,2.5,106886.0
189,172,2,1.0,1,1,0,0,6.6,1,11,0,5.2,144401.0
297,274,4,2.0,0,1,0,1,3.9,1,9,0,2.1,243897.0
254,241,4,2.0,1,1,1,1,2.4,1,15,0,4.3,224372.0
105,103,1,,1,0,0,0,4.2,0,8,0,1.2,80533.0
326,318,5,4.0,1,1,1,1,2.5,1,20,0,3.1,267892.0
233,231,5,5.0,1,1,1,1,3.8,1,20,0,6.7,203336.0
346,329,5,5.0,1,1,1,1,0.6,1,21,0,1.9,301200.0
184,157,3,2.0,1,0,1,0,5.7,1,2,0,0.8,163295.0
167,167,3,1.0,1,0,0,1,1.1,1,2,0,2.5,161162.0
221,196,4,4.0,1,1,1,1,2.7,0,4,0,6.7,198767.0
257,256,4,3.0,1,0,0,1,5.1,1,19,0,0.8,214670.0
139,120,2,2.0,0,0,0,0,3.5,0,14,0,5.3,95990.0
404,387,6,6.0,1,1,1,1,6.4,1,14,0,5.9,330497.0
181,175,2,1.0,1,1,1,0,2.7,0,11,0,3.1,142115.0
284,276,4,5.0,1,1,1,0,4.6,0,3,0,0.5,206572.0
249,244,5,5.0,1,1,1,0,3.9,1,10,0,6.3,203842.0
309,304,5,4.0,1,0,1,0,5.4,1,8,0,3.6,242413.0
158,137,3,,1,1,0,0,3.8,1,15,0,2.7,129379.0
215,191,3,2.0,1,0,0,0,1.3,0,5,0,3.1,165031.0
327,280,5,3.0,1,1,1,0,0.2,1,8,1,4.7,325521.0
301,261,4,2.0,1,1,1,1,4.4,0,5,0,,243912.0
194,191,4,5.0,0,0,0,1,2.5,1,18,0,2.4,166048.0
285,272,4,3.0,1,1,0,0,1.3,1,17,0,6.6,228433.0
147,135,2,2.0,0,1,0,0,4.7,0,22,0,2.3,109282.0
222,210,3,,0,1,0,0,2.8,1,1,0,3.6,190212.0
102,97,1,1.0,0,0,0,0,0.9,0,4,0,1.2,89792.0
119,102,1,1.0,0,1,0,0,1.2,0,17,0,3.7,94144.0
287,251,4,5.0,1,1,1,1,1.7,1,20,0,4.2,249480.0
594,558,7,7.0,1,1,1,1,1.7,1,7,0,5.9,479400.0
273,259,4,5.0,1,1,1,1,1.3,1,12,0,1.4,244707.0
323,310,6,4.0,1,1,1,1,0.6,1,2,0,4.6,291668.0
209,207,3,3.0,0,0,0,0,4.5,0,8,0,4.7,149334.0
321,308,5,5.0,1,1,1,1,6.8,1,11,0,3.6,
315,277,5,2.0,1,1,1,1,3.9,1,3,0,,279219.0
201,187,4,5.0,1,1,1,1,3.9,1,12,0,3.8,187943.0
276,265,4,2.0,1,1,1,0,5.9,1,3,0,1.5,225128.0
204,195,3,3.0,1,1,0,1,5.5,1,1,0,5.8,187200.0
200,198,4,5.0,1,1,0,1,6.5,0,16,0,2.6,158180.0
282,280,4,4.0,1,0,1,0,6.8,1,18,0,0.4,221680.0
262,261,5,3.0,1,1,1,1,0.3,1,2,0,6.5,245510.0
200,193,3,4.0,1,1,1,0,1.4,1,12,0,1.1,175929.0
389,356,6,6.0,1,1,1,1,3.7,1,21,0,6.4,315069.0
350,345,6,7.0,1,1,1,1,2.4,1,10,0,0.3,310008.0
291,252,5,5.0,1,1,1,1,5.1,1,20,0,5.6,246855.0
304,299,5,3.0,1,0,1,1,0.1,1,1,0,0.5,273545.0
245,237,5,3.0,1,1,1,1,1.3,1,20,0,2.6,219714.0
247,229,4,2.0,1,1,0,1,3.5,1,15,0,6.5,208640.0
236,212,4,2.0,0,1,1,0,5.7,1,6,1,3.7,224137.0
304,266,4,,1,1,0,1,0.9,1,9,0,4.9,261871.0
150,146,1,2.0,1,0,0,0,4.4,0,11,0,3.1,106990.0
302,279,4,4.0,1,1,1,1,1.4,1,16,0,2.5,260078.0
289,267,4,4.0,1,1,1,1,2.9,1,11,0,6.8,263038.0
120,103,1,1.0,0,1,0,0,0.7,0,11,0,5.1,103113.0
126,119,2,1.0,0,1,0,1,1.2,0,10,0,0.8,122611.0
223,221,4,2.0,1,0,0,1,6.1,0,7,0,1.3,176167.0
238,228,4,5.0,0,1,0,1,1.8,1,4,0,5.8,214198.0
451,411,6,6.0,1,1,1,1,2.4,1,16,0,5.3,379613.0
102,89,1,2.0,0,1,1,0,3.7,0,14,0,3.5,97238.0
281,257,4,5.0,1,1,1,1,0.9,1,12,0,1.3,260126.0
275,234,4,2.0,1,1,0,1,4.6,0,9,0,4.8,207561.0
213,182,3,4.0,1,1,1,0,4.5,1,7,0,6.4,183886.0
279,268,4,5.0,1,1,1,1,0.6,1,13,0,5.1,255047.0
100,92,1,1.0,1,1,0,0,6.1,0,9,0,5.7,76163.0
164,153,3,3.0,1,1,1,0,6.9,1,17,0,0.3,144818.0
243,208,5,3.0,1,1,1,1,2.4,1,4,0,1.9,237093.0
129,126,1,2.0,0,0,0,0,1.7,0,11,0,3.5,93585.0
121,111,2,1.0,1,1,1,0,4.6,0,8,0,3.2,101814.0
192,168,4,2.0,1,1,1,1,6.8,1,22,0,4.3,173650.0
202,193,3,3.0,0,0,1,0,0.3,0,11,0,,162675.0
270,245,4,5.0,1,1,1,0,0.1,1,15,0,5.9,231698.0
155,151,2,3.0,0,0,0,0,3.2,0,16,0,2.4,109835.0
256,253,4,3.0,1,1,0,1,1.4,1,18,0,3.7,222113.0
326,318,5,4.0,1,1,1,1,4.5,1,16,0,1.2,273499.0
371,334,6,6.0,1,1,1,1,5.6,1,20,0,3.6,305008.0
210,182,4,4.0,1,1,1,1,0.6,0,9,0,4.4,189201.0
185,184,2,1.0,0,0,0,0,3.8,0,9,0,2.5,126769.0
158,137,3,4.0,0,0,0,1,6.6,1,16,0,4.2,130108.0
126,118,1,2.0,0,0,0,0,1.5,0,19,0,3.1,93483.0
214,187,4,5.0,0,1,1,1,4.5,1,20,0,0.7,201830.0
133,131,2,3.0,1,0,0,0,1.5,0,14,0,6.3,98307.0
294,263,4,3.0,1,1,1,1,3.4,0,8,0,5.9,242104.0
275,237,4,2.0,1,1,1,1,2.8,1,11,0,3.4,249572.0
347,347,5,3.0,1,0,1,1,4.5,1,5,0,0.6,287167.0
186,166,3,1.0,0,0,0,0,4.7,0,5,0,1.6,131962.0
335,288,5,2.0,1,1,1,1,0.6,1,5,0,1.9,299785.0
488,474,7,5.0,1,1,0,1,6.3,1,15,0,,395292.0
236,225,3,2.0,1,1,0,0,1.2,0,11,0,4.9,173890.0
230,219,3,1.0,0,1,0,0,2.3,1,12,0,3.8,181709.0
210,188,3,1.0,1,1,1,0,4.1,0,4,0,6.5,160753.0
507,507,7,7.0,1,1,1,1,4.1,1,10,0,2.8,402757.0
126,125,2,1.0,0,0,0,0,1.6,1,14,0,0.4,110839.0
279,252,4,5.0,1,1,1,1,3.3,1,9,0,3.1,241208.0
349,344,5,2.0,1,0,1,1,5.7,1,17,0,,275009.0
230,208,5,3.0,1,1,1,1,3.2,1,16,0,5.5,207885.0
279,266,4,2.0,1,1,1,1,2.8,1,2,0,3.4,253296.0
183,181,2,2.0,0,0,0,1,2.2,0,8,0,,152913.0
229,209,3,1.0,1,1,0,0,5.8,0,15,0,3.9,157595.0
220,220,4,4.0,1,1,1,1,0.6,1,1,0,0.9,216138.0
225,218,3,1.0,0,1,0,1,2.9,0,12,0,1.3,185394.0
220,208,3,4.0,0,0,1,0,6.1,0,9,0,1.3,157810.0
141,129,1,2.0,0,1,0,0,3.4,0,6,0,2.4,110474.0
300,300,4,4.0,0,0,1,1,5.4,0,8,0,3.2,218509.0
295,256,5,5.0,1,1,1,1,2.3,1,9,0,6.7,261293.0
258,252,4,2.0,1,1,1,1,2.1,1,16,0,0.6,235527.0
232,227,3,4.0,1,0,0,0,5.7,1,14,0,2.3,184198.0
211,210,4,3.0,1,1,1,1,1.7,1,18,0,0.4,202799.0
213,208,4,3.0,1,1,1,1,2.2,1,3,0,0.9,202835.0
228,221,4,5.0,1,1,0,1,6.7,1,16,0,2.6,195548.0
123,107,1,1.0,0,0,0,0,3.7,0,19,0,,84138.0
219,208,3,4.0,0,1,0,0,5.7,1,6,0,4.3,167463.0
206,197,3,2.0,1,0,1,0,1.6,1,1,0,6.3,173965.0
278,251,4,2.0,1,1,1,1,0.1,0,15,0,2.9,230183.0
306,262,4,5.0,1,1,0,1,2.9,1,18,0,4.3,250279.0
232,217,3,4.0,0,1,1,0,5.1,1,20,0,2.6,187804.0
235,214,3,1.0,0,0,1,0,0.1,0,12,0,2.3,185883.0
264,245,4,2.0,1,1,1,1,1.2,1,17,0,4.2,228807.0
159,151,3,3.0,1,1,0,0,5.4,1,2,0,4.4,135266.0
116,111,1,2.0,0,0,0,0,2.2,1,15,0,0.7,102340.0
203,192,4,5.0,1,1,0,1,1.8,1,6,0,5.5,186757.0
212,192,4,3.0,1,1,1,0,2.3,1,19,0,3.9,182300.0
232,220,3,2.0,0,1,1,0,4.2,0,22,0,1.7,168894.0
144,127,2,2.0,0,1,0,0,4.3,0,4,0,3.4,105466.0
216,211,3,4.0,1,0,0,1,5.4,0,9,0,6.3,169466.0
178,178,3,1.0,0,0,0,1,5.8,1,8,0,,150320.0
221,193,3,2.0,1,0,0,0,2.1,1,5,0,3.6,177902.0
277,248,4,3.0,1,1,1,0,0.2,1,2,0,6.4,244128.0
293,290,5,5.0,0,1,0,1,3.9,1,17,0,0.1,247120.0
223,211,3,2.0,1,1,0,0,6.2,0,4,0,5.9,157153.0
208,178,4,2.0,1,1,1,1,0.7,1,12,0,2.9,207652.0
281,246,4,3.0,1,1,1,0,5.6,1,8,0,5.5,226876.0
235,205,5,2.0,1,1,1,1,5.1,1,9,0,0.9,216412.0
137,137,1,1.0,1,0,0,0,5.9,0,15,0,0.9,99727.0
267,266,4,2.0,1,0,1,1,5.4,1,7,0,5.5,223885.0
246,216,4,3.0,1,1,1,1,1.5,1,2,0,1.7,234263.0
212,209,3,2.0,1,0,0,0,3.3,0,5,0,6.1,153839.0
196,181,4,3.0,0,1,1,0,2.2,0,22,0,2.7,149959.0
258,244,5,5.0,1,1,1,1,5.3,1,5,0,3.6,232541.0
217,193,4,,1,1,0,1,5.6,0,2,0,4.6,169288.0
309,282,4,4.0,1,1,0,1,5.8,1,12,0,0.5,267804.0
230,201,3,4.0,0,1,0,0,5.7,1,3,0,1.1,179740.0
274,248,5,5.0,1,1,1,1,3.3,1,12,0,2.1,245667.0
161,161,3,4.0,1,0,0,1,2.1,1,16,0,1.2,151050.0
306,302,5,4.0,1,1,1,1,2.5,1,20,0,2.1,257893.0
111,111,1,2.0,1,0,0,0,2.6,0,21,1,4.1,95803.0
157,155,2,1.0,1,0,0,1,4.6,0,2,0,0.8,136818.0
131,113,2,3.0,0,0,0,1,2.4,0,11,0,6.4,108452.0
123,113,2,2.0,0,1,0,0,4.8,0,3,0,6.7,93014.0
190,189,4,5.0,1,1,1,1,3.1,1,12,0,1.8,176741.0
266,242,4,3.0,1,1,1,0,4.9,1,3,0,0.6,225185.0
200,193,4,4.0,0,1,1,1,0.8,1,10,0,5.5,190918.0
258,258,5,2.0,1,1,1,1,2.9,0,19,0,2.7,203467.0
471,403,8,8.0,1,1,1,1,3.9,1,7,0,2.6,394124.0
207,190,3,2.0,0,0,1,0,6.9,1,21,0,1.4,156738.0
251,244,4,4.0,1,1,0,1,2.5,1,8,0,0.7,226594.0
242,234,4,3.0,0,1,1,1,0.4,1,19,0,2.5,221260.0
354,305,5,2.0,1,1,1,1,6.1,1,21,0,4.7,281915.0
293,274,5,5.0,1,1,1,1,0.1,1,4,0,0.8,284599.0
165,164,3,2.0,0,0,1,0,5.1,1,9,1,3.6,146047.0
145,136,2,2.0,1,1,0,0,6.6,0,3,0,6.9,107829.0
216,205,4,3.0,1,1,1,1,6.5,1,16,0,4.9,189533.0
192,185,4,3.0,0,1,1,1,6.1,1,10,0,1.6,
238,210,5,3.0,1,1,1,1,4.6,1,11,0,5.3,213561.0
169,145,3,4.0,1,0,0,1,2.2,1,5,0,4.4,154312.0
113,107,1,1.0,0,1,0,1,3.3,0,18,0,2.5,103785.0
215,197,3,4.0,1,1,1,0,5.2,0,1,0,1.4,172421.0
258,256,5,3.0,1,0,1,1,5.1,1,13,0,6.7,211230.0
285,272,5,2.0,1,1,1,1,4.5,1,12,0,0.8,245571.0
165,155,3,3.0,0,0,0,1,5.8,1,19,0,2.8,137393.0
278,262,4,2.0,1,1,1,1,4.3,1,12,0,0.4,245958.0
129,111,1,1.0,0,0,0,0,2.5,0,22,0,0.9,96856.0
201,201,4,5.0,1,0,1,1,3.5,1,10,0,4.4,179446.0
287,284,5,5.0,1,0,1,1,2.1,1,10,0,5.8,246923.0
191,186,3,1.0,1,0,0,0,6.6,1,9,1,2.4,171663.0
166,152,2,1.0,0,0,0,1,2.4,0,1,0,2.1,137095.0
178,163,2,2.0,0,1,0,1,5.5,0,1,0,2.4,145329.0
169,156,3,2.0,1,1,0,0,4.8,1,8,0,3.3,143553.0
232,200,3,3.0,0,1,0,0,1.4,0,16,0,6.8,163459.0
314,304,5,2.0,0,1,1,0,4.9,1,5,0,4.1,249245.0
288,254,4,3.0,1,1,1,1,6.3,1,9,0,0.8,256141.0
340,290,5,3.0,1,1,1,1,1.9,1,7,0,4.1,298980.0
188,186,3,4.0,1,0,0,1,5.7,0,14,0,5.1,148709.0
206,189,3,4.0,0,1,0,0,1.5,1,15,0,0.9,169983.0
209,207,4,2.0,1,1,1,1,4.2,1,21,0,1.2,181682.0
172,148,2,1.0,0,0,0,0,2.3,0,15,0,6.5,121391.0
121,118,1,2.0,0,0,0,0,6.3,0,6,0,3.2,87662.0
110,100,1,1.0,1,0,0,0,6.5,1,17,0,6.8,82155.0
230,203,4,4.0,1,1,1,1,3.4,1,17,0,1.2,213605.0
143,132,1,1.0,0,1,0,0,2.8,1,7,0,5.6,124148.0
183,173,2,1.0,0,1,0,1,0.7,0,6,0,1.7,165920.0
226,215,3,3.0,1,1,1,0,0.2,1,11,0,1.7,209899.0
265,255,4,3.0,1,1,1,0,5.1,1,19,0,,206413.0
421,389,7,5.0,1,1,1,1,3.4,1,22,0,2.9,348163.0
151,142,3,3.0,0,1,0,0,5.6,1,16,0,0.9,126084.0
410,362,7,7.0,1,1,1,1,2.7,1,15,0,3.2,341764.0
117,110,1,1.0,0,0,0,0,6.1,0,15,0,1.9,78995.0
205,203,4,5.0,0,0,0,1,1.3,1,18,0,5.5,173615.0
216,214,3,3.0,0,0,1,0,5.9,1,22,0,1.6,159920.0
166,142,3,3.0,1,1,0,0,4.3,1,10,0,3.5,141623.0
304,268,5,4.0,1,1,1,1,4.1,1,9,0,1.6,270377.0
317,276,5,3.0,1,1,1,1,4.5,1,16,1,3.9,309368.0
128,112,1,1.0,0,0,0,0,1.1,0,20,0,,94598.0
297,267,4,3.0,1,1,0,1,3.2,1,2,0,2.4,258670.0
