land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
308 sqm,265 sqm,5,3,Yes,Yes,Yes,Yes,5.7km,Yes,12 Years,Yes,6.8 km,3.21,medium,282973
216 sqm,211 sqm,4,5,Yes,Yes,Yes,Yes,1.7km,No,11 Years,No,2.1 km,3.12,medium,184876
413 sqm,379 sqm,6,4,Yes,Yes,Yes,Yes,3.5km,Yes,15 Years,No,0.6 km,3.85,medium,339498
103 sqm,102 sqm,1,2,Yes,No,No,No,0.4km,No,16 Years,No,5.3 km,1.74,small,87402
226 sqm,201 sqm,3,3,No,No,No,No,3.2km,Yes,15 Years,No,6.6 km,5.11,medium,159508
224 sqm,210 sqm,4,2,No,Yes,No,No,4.7km,Yes,18 Years,No,5.1 km,2.91,small,163962
299 sqm,278 sqm,5,3,Yes,Yes,Yes,Yes,6.3km,Yes,20 Years,No,5.3 km,0.04,medium,246565
182 sqm,177 sqm,2,2,No,No,No,Yes,6.2km,No,3 Years,Yes,1.2 km,5.12,medium,155549
352 sqm,307 sqm,5,2,Yes,Yes,Yes,Yes,5.5km,Yes,8 Years,No,6.7 km,5.17,medium,288480
239 sqm,213 sqm,3,2,Yes,Yes,Yes,No,2.9km,Yes,21 Years,No,4.5 km,3.85,small,191668
218 sqm,210 sqm,3,3,No,No,No,Yes,2.4km,Yes,13 Years,No,4.8 km,4.31,medium,181747
469 sqm,427 sqm,6,6,Yes,Yes,Yes,Yes,0.1km,No,14 Years,No,3.5 km,5.84,medium,363589
168 sqm,163 sqm,2,2,No,No,No,No,1.6km,No,9 Years,No,4.6 km,1.21,large,128495
146 sqm,128 sqm,2,3,No,Yes,Yes,No,4.3km,No,19 Years,No,5.5 km,1.75,large,115748
218 sqm,211 sqm,4,5,Yes,Yes,No,Yes,4.7km,Yes,22 Years,No,5.9 km,3.13,medium,181704
286 sqm,259 sqm,4,5,Yes,Yes,Yes,Yes,1.6km,No,21 Years,No,6.3 km,0.23,small,219835
196 sqm,172 sqm,4,3,Yes,Yes,Yes,No,1.8km,No,7 Years,No,3.6 km,5.62,small,149434
199 sqm,189 sqm,4,2,Yes,Yes,Yes,Yes,2.5km,Yes,7 Years,No,5.9 km,3.18,small,182669
258 sqm,241 sqm,4,4,Yes,Yes,No,No,3.3km,Yes,22 Years,No,4.7 km,0.97,medium,200244
298 sqm,282 sqm,5,4,Yes,Yes,Yes,Yes,5.5km,No,9 Years,No,5.6 km,3.31,small,222028
351 sqm,302 sqm,5,3,Yes,Yes,No,Yes,0.2km,Yes,19 Years,No,3.2 km,5.49,small,273884
331 sqm,295 sqm,5,3,Yes,Yes,Yes,Yes,3.5km,Yes,10 Years,No,6.1 km,2.01,medium,280459
707 sqm,706 sqm,8,8,Yes,Yes,Yes,Yes,4.6km,Yes,8 Years,Yes,4.2 km,5.98,extra_large,633937
131 sqm,114 sqm,1,1,Yes,No,No,No,3.3km,No,4 Years,No,4.2 km,0.67,small,96597
111 sqm,100 sqm,1,1,Yes,Yes,Yes,No,6.2km,No,7 Years,No,5.3 km,3.99,medium,91143
339 sqm,319 sqm,5,3,Yes,Yes,Yes,Yes,6.2km,Yes,3 Years,No,1.5 km,4.33,small,278842
351 sqm,349 sqm,5,4,Yes,No,Yes,Yes,5.7km,Yes,13 Years,No,2.6 km,5.96,small,278214
575 sqm,510 sqm,7,5,Yes,Yes,Yes,Yes,5.6km,Yes,14 Years,No,2.6 km,1.11,large,481957
199 sqm,190 sqm,3,1,Yes,No,No,No,2.9km,Yes,14 Years,No,0.1 km,4.72,small,154835
335 sqm,301 sqm,5,5,Yes,Yes,Yes,Yes,1.1km,Yes,9 Years,No,3.3 km,2.90,small,287783
564 sqm,550 sqm,7,5,Yes,Yes,Yes,Yes,0.4km,Yes,9 Years,No,6.5 km,1.74,small,462835
188 sqm,184 sqm,2,1,Yes,No,No,Yes,1.2km,No,11 Years,No,1.1 km,1.31,large,166690
201 sqm,199 sqm,3,1,Yes,No,No,No,5.3km,Yes,10 Years,No,3.7 km,1.11,medium,157217
282 sqm,242 sqm,5,3,No,Yes,Yes,Yes,1.3km,Yes,3 Years,No,0.7 km,0.09,medium,258670
208 sqm,195 sqm,3,4,Yes,No,No,No,1.9km,Yes,6 Years,No,3.6 km,0.12,medium,168724
328 sqm,313 sqm,5,5,Yes,Yes,Yes,Yes,4.1km,No,17 Years,No,6.5 km,4.45,small,240075
339 sqm,306 sqm,5,3,No,Yes,Yes,Yes,2.8km,Yes,14 Years,No,5.9 km,1.97,small,278212
178 sqm,176 sqm,2,1,Yes,No,Yes,No,3.2km,Yes,9 Years,No,0.1 km,5.66,medium,143234
172 sqm,170 sqm,2,3,No,No,No,No,1.4km,No,18 Years,No,0.3 km,4.30,large,130053
235 sqm,228 sqm,3,2,Yes,Yes,No,No,1.9km,Yes,17 Years,No,0.4 km,5.40,small,190146
213 sqm,198 sqm,3,1,No,Yes,No,Yes,5.7km,No,17 Years,No,6.3 km,4.41,small,152609
294 sqm,285 sqm,5,5,Yes,Yes,Yes,Yes,1.6km,Yes,7 Years,No,2.1 km,1.50,medium,258997
106 sqm,103 sqm,1,1,Yes,No,No,No,0.9km,No,14 Years,No,3.5 km,0.31,medium,89107
526 sqm,458 sqm,7,8,Yes,Yes,Yes,Yes,6.4km,Yes,12 Years,No,5.2 km,3.45,large,434971
237 sqm,222 sqm,3,3,Yes,Yes,Yes,No,0.2km,No,10 Years,No,6.3 km,1.89,medium,194061
125 sqm,116 sqm,2,3,No,Yes,No,Yes,6.9km,No,2 Years,No,3.2 km,1.14,large,115975
251 sqm,219 sqm,4,4,Yes,Yes,Yes,Yes,5.6km,Yes,13 Years,No,3.2 km,5.89,medium,221823
220 sqm,199 sqm,4,5,Yes,Yes,Yes,No,6.1km,No,2 Years,No,1.9 km,5.99,medium,168480
347 sqm,326 sqm,5,5,Yes,Yes,Yes,Yes,0.2km,Yes,4 Years,No,1.1 km,1.19,small,316226
352 sqm,315 sqm,6,5,Yes,Yes,Yes,Yes,4.5km,Yes,22 Years,No,0.2 km,1.87,medium,299973
213 sqm,198 sqm,4,2,Yes,Yes,Yes,Yes,1.3km,Yes,19 Years,No,6.2 km,4.12,medium,191361
240 sqm,204 sqm,4,4,No,Yes,No,Yes,4.8km,No,16 Years,No,4.2 km,4.29,small,169989
287 sqm,248 sqm,5,4,Yes,Yes,No,Yes,3.5km,Yes,9 Years,No,1.7 km,3.22,small,241830
218 sqm,192 sqm,3,1,Yes,Yes,No,Yes,5.4km,Yes,15 Years,No,0.8 km,1.46,medium,188191
295 sqm,276 sqm,4,5,Yes,Yes,Yes,No,4.3km,Yes,18 Years,No,3.2 km,2.22,small,224761
269 sqm,232 sqm,4,5,Yes,Yes,Yes,Yes,2.8km,Yes,16 Years,No,5.3 km,4.13,medium,237263
732 sqm,670 sqm,8,8,Yes,Yes,Yes,Yes,0.3km,Yes,15 Years,No,3.4 km,2.13,large,616074
292 sqm,260 sqm,4,5,Yes,Yes,Yes,Yes,6.3km,No,17 Years,No,6.6 km,1.93,medium,223110
326 sqm,300 sqm,5,4,Yes,Yes,Yes,No,0.9km,Yes,22 Years,No,3.3 km,5.40,small,260625
302 sqm,298 sqm,5,5,Yes,Yes,Yes,Yes,6.4km,Yes,13 Years,No,1.9 km,3.76,medium,258224
237 sqm,218 sqm,3,3,No,Yes,No,No,2.6km,Yes,2 Years,No,5.6 km,4.31,medium,181262
462 sqm,432 sqm,7,6,Yes,Yes,Yes,Yes,5.5km,Yes,22 Years,No,5.3 km,4.17,large,376138
121 sqm,116 sqm,1,2,No,No,Yes,No,3.2km,No,22 Years,No,6.2 km,3.43,medium,83596
290 sqm,286 sqm,4,2,Yes,Yes,No,Yes,0.7km,Yes,17 Years,No,4.4 km,1.20,small,248198
170 sqm,169 sqm,3,4,Yes,No,No,No,6.2km,No,4 Years,No,1.6 km,4.67,small,119513
171 sqm,165 sqm,3,2,Yes,Yes,No,Yes,5.4km,No,22 Years,No,2.1 km,2.58,medium,133973
284 sqm,277 sqm,4,2,Yes,Yes,Yes,Yes,6.2km,Yes,2 Years,No,0.1 km,2.36,small,247026
219 sqm,191 sqm,4,2,Yes,Yes,No,Yes,2.4km,Yes,1 Years,No,5.4 km,0.15,small,195210
270 sqm,259 sqm,4,2,No,Yes,Yes,Yes,0.5km,Yes,9 Years,No,3.7 km,0.27,small,236517
126 sqm,118 sqm,1,1,No,Yes,No,No,3.9km,No,20 Years,No,2.2 km,5.45,small,86108
311 sqm,293 sqm,5,3,Yes,Yes,Yes,Yes,5.3km,Yes,20 Years,No,3.9 km,3.27,small,248858
228 sqm,197 sqm,4,2,Yes,Yes,Yes,Yes,0.2km,Yes,15 Years,No,1.1 km,4.05,medium,226934
195 sqm,194 sqm,4,3,Yes,Yes,Yes,Yes,5.8km,Yes,20 Years,No,1.6 km,0.71,small,173061
150 sqm,148 sqm,2,3,No,No,No,No,5.3km,No,3 Years,No,2.5 km,2.43,medium,102931
189 sqm,172 sqm,2,1,Yes,Yes,No,No,6.6km,Yes,11 Years,No,5.2 km,0.66,small,142666
297 sqm,274 sqm,4,2,No,Yes,No,Yes,3.9km,Yes,9 Years,No,2.1 km,3.72,small,234742
254 sqm,241 sqm,4,2,Yes,Yes,Yes,Yes,2.4km,Yes,15 Years,No,4.3 km,3.72,small,215166
105 sqm,103 sqm,1,2,Yes,No,No,No,4.2km,No,8 Years,No,1.2 km,4.92,medium,74578
326 sqm,318 sqm,5,4,Yes,Yes,Yes,Yes,2.5km,Yes,20 Years,No,3.1 km,0.96,medium,271447
233 sqm,231 sqm,5,5,Yes,Yes,Yes,Yes,3.8km,Yes,20 Years,No,6.7 km,1.27,medium,203147
346 sqm,329 sqm,5,5,Yes,Yes,Yes,Yes,0.6km,Yes,21 Years,No,1.9 km,1.47,small,298067
184 sqm,157 sqm,3,2,Yes,No,Yes,No,5.7km,Yes,2 Years,No,0.8 km,2.41,small,156989
167 sqm,167 sqm,3,1,Yes,No,No,Yes,1.1km,Yes,2 Years,No,2.5 km,3.25,medium,153839
221 sqm,196 sqm,4,4,Yes,Yes,Yes,Yes,2.7km,No,4 Years,No,6.7 km,4.58,medium,193115
257 sqm,256 sqm,4,3,Yes,No,No,Yes,5.1km,Yes,19 Years,No,0.8 km,5.46,small,204217
139 sqm,120 sqm,2,2,No,No,No,No,3.5km,No,14 Years,No,5.3 km,0.42,medium,95329
404 sqm,387 sqm,6,6,Yes,Yes,Yes,Yes,6.4km,Yes,14 Years,No,5.9 km,2.55,medium,331662
181 sqm,175 sqm,2,1,Yes,Yes,Yes,No,2.7km,No,11 Years,No,3.1 km,1.54,medium,140138
284 sqm,276 sqm,4,5,Yes,Yes,Yes,No,4.6km,No,3 Years,No,0.5 km,2.16,medium,204294
249 sqm,244 sqm,5,5,Yes,Yes,Yes,No,3.9km,Yes,10 Years,No,6.3 km,0.47,medium,205757
309 sqm,304 sqm,5,4,Yes,No,Yes,No,5.4km,Yes,8 Years,No,3.6 km,4.65,medium,236765
158 sqm,137 sqm,3,2,Yes,Yes,No,No,3.8km,Yes,15 Years,No,2.7 km,3.99,small,121941
215 sqm,191 sqm,3,2,Yes,No,No,No,1.3km,No,5 Years,No,3.1 km,5.17,small,155454
327 sqm,280 sqm,5,3,Yes,Yes,Yes,No,0.2km,Yes,8 Years,Yes,4.7 km,2.76,small,319955
301 sqm,261 sqm,4,2,Yes,Yes,Yes,Yes,4.4km,No,5 Years,No,1.8 km,0.10,medium,246785
194 sqm,191 sqm,4,5,No,No,No,Yes,2.5km,Yes,18 Years,No,2.4 km,3.61,small,157193
285 sqm,272 sqm,4,3,Yes,Yes,No,No,1.3km,Yes,17 Years,No,6.6 km,4.98,medium,224534
147 sqm,135 sqm,2,2,No,Yes,No,No,4.7km,No,22 Years,No,2.3 km,4.50,large,106071
222 sqm,210 sqm,3,1,No,Yes,No,No,2.8km,Yes,1 Years,No,3.6 km,3.01,small,185050
102 sqm,97 sqm,1,1,No,No,No,No,0.9km,No,4 Years,No,1.2 km,3.61,small,81705
119 sqm,102 sqm,1,1,No,Yes,No,No,1.2km,No,17 Years,No,3.7 km,1.77,medium,91617
287 sqm,251 sqm,4,5,Yes,Yes,Yes,Yes,1.7km,Yes,20 Years,No,4.2 km,0.09,medium,251878
594 sqm,558 sqm,7,7,Yes,Yes,Yes,Yes,1.7km,Yes,7 Years,No,5.9 km,1.10,medium,485251
273 sqm,259 sqm,4,5,Yes,Yes,Yes,Yes,1.3km,Yes,12 Years,No,1.4 km,5.98,medium,239005
323 sqm,310 sqm,6,4,Yes,Yes,Yes,Yes,0.6km,Yes,2 Years,No,4.6 km,4.90,small,280732
209 sqm,207 sqm,3,3,No,No,No,No,4.5km,No,8 Years,No,4.7 km,2.99,medium,146659
321 sqm,308 sqm,5,5,Yes,Yes,Yes,Yes,6.8km,Yes,11 Years,No,3.6 km,5.74,medium,261140
315 sqm,277 sqm,5,2,Yes,Yes,Yes,Yes,3.9km,Yes,3 Years,No,4.2 km,2.40,medium,277487
201 sqm,187 sqm,4,5,Yes,Yes,Yes,Yes,3.9km,Yes,12 Years,No,3.8 km,5.18,medium,177838
276 sqm,265 sqm,4,2,Yes,Yes,Yes,No,5.9km,Yes,3 Years,No,1.5 km,4.45,medium,218677
204 sqm,195 sqm,3,3,Yes,Yes,No,Yes,5.5km,Yes,1 Years,No,5.8 km,4.09,small,179334
200 sqm,198 sqm,4,5,Yes,Yes,No,Yes,6.5km,No,16 Years,No,2.6 km,5.17,small,149213
282 sqm,280 sqm,4,4,Yes,No,Yes,No,6.8km,Yes,18 Years,No,0.4 km,3.96,medium,218357
262 sqm,261 sqm,5,3,Yes,Yes,Yes,Yes,0.3km,Yes,2 Years,No,6.5 km,3.45,medium,242608
200 sqm,193 sqm,3,4,Yes,Yes,Yes,No,1.4km,Yes,12 Years,No,1.1 km,4.34,medium,167090
389 sqm,356 sqm,6,6,Yes,Yes,Yes,Yes,3.7km,Yes,21 Years,No,6.4 km,1.19,small,311121
350 sqm,345 sqm,6,7,Yes,Yes,Yes,Yes,2.4km,Yes,10 Years,No,0.3 km,3.95,small,302476
291 sqm,252 sqm,5,5,Yes,Yes,Yes,Yes,5.1km,Yes,20 Years,No,5.6 km,3.99,medium,244099
304 sqm,299 sqm,5,3,Yes,No,Yes,Yes,0.1km,Yes,1 Years,No,0.5 km,4.68,medium,269943
245 sqm,237 sqm,5,3,Yes,Yes,Yes,Yes,1.3km,Yes,20 Years,No,2.6 km,5.38,small,207175
247 sqm,229 sqm,4,2,Yes,Yes,No,Yes,3.5km,Yes,15 Years,No,6.5 km,1.30,small,204491
236 sqm,212 sqm,4,2,No,Yes,Yes,No,5.7km,Yes,6 Years,Yes,3.7 km,0.67,medium,226527
304 sqm,266 sqm,4,2,Yes,Yes,No,Yes,0.9km,Yes,9 Years,No,4.9 km,0.42,small,259447
150 sqm,146 sqm,1,2,Yes,No,No,No,4.4km,No,11 Years,No,3.1 km,0.67,medium,107623
302 sqm,279 sqm,4,4,Yes,Yes,Yes,Yes,1.4km,Yes,16 Years,No,2.5 km,3.95,medium,255877
289 sqm,267 sqm,4,4,Yes,Yes,Yes,Yes,2.9km,Yes,11 Years,No,6.8 km,5.10,small,253564
120 sqm,103 sqm,1,1,No,Yes,No,No,0.7km,No,11 Years,No,5.1 km,4.87,medium,94746
126 sqm,119 sqm,2,1,No,Yes,No,Yes,1.2km,No,10 Years,No,0.8 km,5.03,large,119907
223 sqm,221 sqm,4,2,Yes,No,No,Yes,6.1km,No,7 Years,No,1.3 km,2.87,small,171645
238 sqm,228 sqm,4,5,No,Yes,No,Yes,1.8km,Yes,4 Years,No,5.8 km,4.92,medium,209202
