land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
152,142,2,3,0,0,0,0,4.4,0,11,0,3.2,0.72,2,106896
149,140,2,3,0,1,0,0,0.3,0,21,0,4.9,0.57,0,119377
238,205,3,2,0,1,0,1,3.8,1,22,0,6.3,3.06,1,194009
236,215,4,3,0,1,1,1,3.2,1,20,0,0.3,3.58,0,205527
256,233,5,5,1,1,1,1,4.7,1,11,0,0.8,3.81,1,238334
297,294,5,2,1,1,1,1,3.2,1,2,0,1.9,3.49,1,254727
475,451,7,6,1,1,1,1,5.3,1,17,0,2.1,0.08,3,369207
132,128,2,2,0,0,0,1,5.6,0,11,0,0.5,1.06,1,109392
170,150,3,1,0,1,1,0,3.3,1,13,0,6.9,5.24,1,141169
216,195,3,2,1,1,0,0,6.1,1,15,0,1.7,2.34,1,163696
526,467,8,6,1,1,1,1,3.4,1,17,0,1.6,0.90,2,430611
222,221,3,4,1,0,1,0,1.9,0,22,0,1.5,5.54,0,156379
260,260,4,2,1,1,1,1,2.6,1,6,0,1.1,4.88,1,233275
241,232,4,5,0,1,1,1,5.4,1,19,0,3.2,3.08,0,196305
287,282,4,3,1,0,1,1,4.7,1,18,0,4.4,3.89,0,233007
121,103,2,3,1,1,0,1,3.2,0,1,0,4.1,0.81,1,115686
143,139,1,1,0,0,0,0,4.8,0,13,0,6.2,2.41,0,86727
280,245,4,5,1,1,1,1,0.9,1,10,0,5.5,0.72,0,259502
632,567,8,6,1,1,1,1,1.4,1,13,0,5.7,0.46,2,527472
115,98,1,2,1,0,0,0,4.7,0,2,0,4.8,2.97,0,76899
205,175,3,3,1,0,1,0,1.3,0,18,1,1.8,0.97,1,187897
193,192,4,2,1,1,0,1,0.3,1,19,0,2.9,2.97,0,183566
231,215,5,3,1,1,1,1,4.6,1,18,0,1.1,5.50,1,198919
321,314,5,5,1,1,1,1,6.6,0,3,0,5.7,2.87,1,251935
331,308,5,3,1,1,1,0,3.7,1,8,0,5.8,3.02,0,261937
427,371,6,5,1,1,1,1,1.8,1,21,0,5.3,4.36,1,337540
162,145,3,4,0,1,0,0,2.5,1,4,0,6.9,3.66,1,131810
466,419,6,6,1,1,1,1,3.6,1,8,0,4.1,4.14,1,390138
206,187,4,3,1,1,1,1,1.4,1,18,0,2.2,5.61,0,181708
207,189,4,5,0,1,1,1,4.3,1,3,1,1.9,2.76,1,218009
201,181,3,2,0,1,1,0,3.8,0,3,0,3.3,1.72,0,158468
383,359,6,5,1,1,1,1,2.1,1,16,0,4.1,3.62,0,300328
134,131,1,2,1,0,0,0,3.6,0,19,0,5.3,2.85,0,89398
173,148,2,2,0,0,0,0,6.6,0,17,0,5.1,2.59,0,103859
155,139,3,1,0,1,0,0,6.7,1,15,0,6.2,4.63,1,110155
256,234,4,5,1,1,1,1,3.8,1,12,0,3.7,5.43,1,224335
317,299,6,7,1,1,1,1,5.8,0,16,0,0.1,2.67,1,253088
240,239,4,5,1,1,1,1,3.9,0,20,0,0.1,4.14,1,193711
260,235,4,4,1,1,1,1,0.6,1,17,0,5.8,5.63,1,229133
195,187,4,3,1,1,1,1,0.7,1,4,0,6.9,3.65,1,192284
116,100,1,1,0,0,0,0,2.7,0,14,0,3.3,4.36,0,76826
239,205,4,5,1,1,0,1,2.1,0,8,0,3.5,0.92,1,192173
234,221,3,3,1,0,1,0,3.3,1,15,0,0.3,4.44,1,186721
269,259,4,4,1,1,1,1,4.9,1,5,0,3.4,2.64,0,222170
156,142,3,1,0,1,1,0,1.6,1,15,0,1.7,1.99,0,143898
308,265,5,3,1,1,1,1,5.7,1,12,1,6.8,3.21,1,282973
216,211,4,5,1,1,1,1,1.7,0,11,0,2.1,3.12,1,184876
413,379,6,4,1,1,1,1,3.5,1,15,0,0.6,3.85,1,339498
103,102,1,2,1,0,0,0,0.4,0,16,0,5.3,1.74,0,87402
226,201,3,3,0,0,0,0,3.2,1,15,0,6.6,5.11,1,159508
224,210,4,2,0,1,0,0,4.7,1,18,0,5.1,2.91,0,163962
299,278,5,3,1,1,1,1,6.3,1,20,0,5.3,0.04,1,246565
182,177,2,2,0,0,0,1,6.2,0,3,1,1.2,5.12,1,155549
352,307,5,2,1,1,1,1,5.5,1,8,0,6.7,5.17,1,288480
239,213,3,2,1,1,1,0,2.9,1,21,0,4.5,3.85,0,191668
218,210,3,3,0,0,0,1,2.4,1,13,0,4.8,4.31,1,181747
469,427,6,6,1,1,1,1,0.1,0,14,0,3.5,5.84,1,363589
168,163,2,2,0,0,0,0,1.6,0,9,0,4.6,1.21,2,128495
146,128,2,3,0,1,1,0,4.3,0,19,0,5.5,1.75,2,115748
218,211,4,5,1,1,0,1,4.7,1,22,0,5.9,3.13,1,181704
286,259,4,5,1,1,1,1,1.6,0,21,0,6.3,0.23,0,219835
196,172,4,3,1,1,1,0,1.8,0,7,0,3.6,5.62,0,149434
199,189,4,2,1,1,1,1,2.5,1,7,0,5.9,3.18,0,182669
258,241,4,4,1,1,0,0,3.3,1,22,0,4.7,0.97,1,200244
298,282,5,4,1,1,1,1,5.5,0,9,0,5.6,3.31,0,222028
351,302,5,3,1,1,0,1,0.2,1,19,0,3.2,5.49,0,273884
331,295,5,3,1,1,1,1,3.5,1,10,0,6.1,2.01,1,280459
707,706,8,8,1,1,1,1,4.6,1,8,1,4.2,5.98,3,633937
131,114,1,1,1,0,0,0,3.3,0,4,0,4.2,0.67,0,96597
111,100,1,1,1,1,1,0,6.2,0,7,0,5.3,3.99,1,91143
339,319,5,3,1,1,1,1,6.2,1,3,0,1.5,4.33,0,278842
351,349,5,4,1,0,1,1,5.7,1,13,0,2.6,5.96,0,278214
575,510,7,5,1,1,1,1,5.6,1,14,0,2.6,1.11,2,481957
199,190,3,1,1,0,0,0,2.9,1,14,0,0.1,4.72,0,154835
335,301,5,5,1,1,1,1,1.1,1,9,0,3.3,2.90,0,287783
564,550,7,5,1,1,1,1,0.4,1,9,0,6.5,1.74,0,462835
188,184,2,1,1,0,0,1,1.2,0,11,0,1.1,1.31,2,166690
201,199,3,1,1,0,0,0,5.3,1,10,0,3.7,1.11,1,157217
282,242,5,3,0,1,1,1,1.3,1,3,0,0.7,0.09,1,258670
208,195,3,4,1,0,0,0,1.9,1,6,0,3.6,0.12,1,168724
328,313,5,5,1,1,1,1,4.1,0,17,0,6.5,4.45,0,240075
339,306,5,3,0,1,1,1,2.8,1,14,0,5.9,1.97,0,278212
178,176,2,1,1,0,1,0,3.2,1,9,0,0.1,5.66,1,143234
172,170,2,3,0,0,0,0,1.4,0,18,0,0.3,4.30,2,130053
235,228,3,2,1,1,0,0,1.9,1,17,0,0.4,5.40,0,190146
213,198,3,1,0,1,0,1,5.7,0,17,0,6.3,4.41,0,152609
294,285,5,5,1,1,1,1,1.6,1,7,0,2.1,1.50,1,258997
106,103,1,1,1,0,0,0,0.9,0,14,0,3.5,0.31,1,89107
526,458,7,8,1,1,1,1,6.4,1,12,0,5.2,3.45,2,434971
237,222,3,3,1,1,1,0,0.2,0,10,0,6.3,1.89,1,194061
125,116,2,3,0,1,0,1,6.9,0,2,0,3.2,1.14,2,115975
251,219,4,4,1,1,1,1,5.6,1,13,0,3.2,5.89,1,221823
220,199,4,5,1,1,1,0,6.1,0,2,0,1.9,5.99,1,168480
347,326,5,5,1,1,1,1,0.2,1,4,0,1.1,1.19,0,316226
352,315,6,5,1,1,1,1,4.5,1,22,0,0.2,1.87,1,299973
213,198,4,2,1,1,1,1,1.3,1,19,0,6.2,4.12,1,191361
240,204,4,4,0,1,0,1,4.8,0,16,0,4.2,4.29,0,169989
287,248,5,4,1,1,0,1,3.5,1,9,0,1.7,3.22,0,241830
218,192,3,1,1,1,0,1,5.4,1,15,0,0.8,1.46,1,188191
295,276,4,5,1,1,1,0,4.3,1,18,0,3.2,2.22,0,224761
269,232,4,5,1,1,1,1,2.8,1,16,0,5.3,4.13,1,237263
732,670,8,8,1,1,1,1,0.3,1,15,0,3.4,2.13,2,616074
292,260,4,5,1,1,1,1,6.3,0,17,0,6.6,1.93,1,223110
326,300,5,4,1,1,1,0,0.9,1,22,0,3.3,5.40,0,260625
302,298,5,5,1,1,1,1,6.4,1,13,0,1.9,3.76,1,258224
237,218,3,3,0,1,0,0,2.6,1,2,0,5.6,4.31,1,181262
462,432,7,6,1,1,1,1,5.5,1,22,0,5.3,4.17,2,376138
121,116,1,2,0,0,1,0,3.2,0,22,0,6.2,3.43,1,83596
290,286,4,2,1,1,0,1,0.7,1,17,0,4.4,1.20,0,248198
170,169,3,4,1,0,0,0,6.2,0,4,0,1.6,4.67,0,119513
171,165,3,2,1,1,0,1,5.4,0,22,0,2.1,2.58,1,133973
284,277,4,2,1,1,1,1,6.2,1,2,0,0.1,2.36,0,247026
219,191,4,2,1,1,0,1,2.4,1,1,0,5.4,0.15,0,195210
270,259,4,2,0,1,1,1,0.5,1,9,0,3.7,0.27,0,236517
126,118,1,1,0,1,0,0,3.9,0,20,0,2.2,5.45,0,86108
311,293,5,3,1,1,1,1,5.3,1,20,0,3.9,3.27,0,248858
228,197,4,2,1,1,1,1,0.2,1,15,0,1.1,4.05,1,226934
195,194,4,3,1,1,1,1,5.8,1,20,0,1.6,0.71,0,173061
150,148,2,3,0,0,0,0,5.3,0,3,0,2.5,2.43,1,102931
189,172,2,1,1,1,0,0,6.6,1,11,0,5.2,0.66,0,142666
297,274,4,2,0,1,0,1,3.9,1,9,0,2.1,3.72,0,234742
254,241,4,2,1,1,1,1,2.4,1,15,0,4.3,3.72,0,215166
105,103,1,2,1,0,0,0,4.2,0,8,0,1.2,4.92,1,74578
326,318,5,4,1,1,1,1,2.5,1,20,0,3.1,0.96,1,271447
233,231,5,5,1,1,1,1,3.8,1,20,0,6.7,1.27,1,203147
346,329,5,5,1,1,1,1,0.6,1,21,0,1.9,1.47,0,298067
184,157,3,2,1,0,1,0,5.7,1,2,0,0.8,2.41,0,156989
167,167,3,1,1,0,0,1,1.1,1,2,0,2.5,3.25,1,153839
221,196,4,4,1,1,1,1,2.7,0,4,0,6.7,4.58,1,193115
257,256,4,3,1,0,0,1,5.1,1,19,0,0.8,5.46,0,204217
139,120,2,2,0,0,0,0,3.5,0,14,0,5.3,0.42,1,95329
404,387,6,6,1,1,1,1,6.4,1,14,0,5.9,2.55,1,331662
181,175,2,1,1,1,1,0,2.7,0,11,0,3.1,1.54,1,140138
284,276,4,5,1,1,1,0,4.6,0,3,0,0.5,2.16,1,204294
249,244,5,5,1,1,1,0,3.9,1,10,0,6.3,0.47,1,205757
309,304,5,4,1,0,1,0,5.4,1,8,0,3.6,4.65,1,236765
158,137,3,2,1,1,0,0,3.8,1,15,0,2.7,3.99,0,121941
215,191,3,2,1,0,0,0,1.3,0,5,0,3.1,5.17,0,155454
327,280,5,3,1,1,1,0,0.2,1,8,1,4.7,2.76,0,319955
301,261,4,2,1,1,1,1,4.4,0,5,0,1.8,0.10,1,246785
194,191,4,5,0,0,0,1,2.5,1,18,0,2.4,3.61,0,157193
285,272,4,3,1,1,0,0,1.3,1,17,0,6.6,4.98,1,224534
147,135,2,2,0,1,0,0,4.7,0,22,0,2.3,4.50,2,106071
222,210,3,1,0,1,0,0,2.8,1,1,0,3.6,3.01,0,185050
102,97,1,1,0,0,0,0,0.9,0,4,0,1.2,3.61,0,81705
119,102,1,1,0,1,0,0,1.2,0,17,0,3.7,1.77,1,91617
287,251,4,5,1,1,1,1,1.7,1,20,0,4.2,0.09,1,251878
594,558,7,7,1,1,1,1,1.7,1,7,0,5.9,1.10,1,485251
273,259,4,5,1,1,1,1,1.3,1,12,0,1.4,5.98,1,239005
323,310,6,4,1,1,1,1,0.6,1,2,0,4.6,4.90,0,280732
209,207,3,3,0,0,0,0,4.5,0,8,0,4.7,2.99,1,146659
321,308,5,5,1,1,1,1,6.8,1,11,0,3.6,5.74,1,261140
315,277,5,2,1,1,1,1,3.9,1,3,0,4.2,2.40,1,277487
201,187,4,5,1,1,1,1,3.9,1,12,0,3.8,5.18,1,177838
276,265,4,2,1,1,1,0,5.9,1,3,0,1.5,4.45,1,218677
204,195,3,3,1,1,0,1,5.5,1,1,0,5.8,4.09,0,179334
200,198,4,5,1,1,0,1,6.5,0,16,0,2.6,5.17,0,149213
282,280,4,4,1,0,1,0,6.8,1,18,0,0.4,3.96,1,218357
262,261,5,3,1,1,1,1,0.3,1,2,0,6.5,3.45,1,242608
200,193,3,4,1,1,1,0,1.4,1,12,0,1.1,4.34,1,167090
389,356,6,6,1,1,1,1,3.7,1,21,0,6.4,1.19,0,311121
350,345,6,7,1,1,1,1,2.4,1,10,0,0.3,3.95,0,302476
291,252,5,5,1,1,1,1,5.1,1,20,0,5.6,3.99,1,244099
304,299,5,3,1,0,1,1,0.1,1,1,0,0.5,4.68,1,269943
245,237,5,3,1,1,1,1,1.3,1,20,0,2.6,5.38,0,207175
247,229,4,2,1,1,0,1,3.5,1,15,0,6.5,1.30,0,204491
236,212,4,2,0,1,1,0,5.7,1,6,1,3.7,0.67,1,226527
304,266,4,2,1,1,0,1,0.9,1,9,0,4.9,0.42,0,259447
150,146,1,2,1,0,0,0,4.4,0,11,0,3.1,0.67,1,107623
302,279,4,4,1,1,1,1,1.4,1,16,0,2.5,3.95,1,255877
289,267,4,4,1,1,1,1,2.9,1,11,0,6.8,5.10,0,253564
120,103,1,1,0,1,0,0,0.7,0,11,0,5.1,4.87,1,94746
126,119,2,1,0,1,0,1,1.2,0,10,0,0.8,5.03,2,119907
223,221,4,2,1,0,0,1,6.1,0,7,0,1.3,2.87,0,171645
238,228,4,5,0,1,0,1,1.8,1,4,0,5.8,4.92,1,209202
451,411,6,6,1,1,1,1,2.4,1,16,0,5.3,0.71,0,378002
102,89,1,2,0,1,1,0,3.7,0,14,0,3.5,0.36,1,97490
281,257,4,5,1,1,1,1,0.9,1,12,0,1.3,3.28,0,251810
275,234,4,2,1,1,0,1,4.6,0,9,0,4.8,1.57,0,203732
213,182,3,4,1,1,1,0,4.5,1,7,0,6.4,0.46,0,182073
279,268,4,5,1,1,1,1,0.6,1,13,0,5.1,1.34,1,256259
100,92,1,1,1,1,0,0,6.1,0,9,0,5.7,1.57,0,72429
164,153,3,3,1,1,1,0,6.9,1,17,0,0.3,4.64,0,136052
243,208,5,3,1,1,1,1,2.4,1,4,0,1.9,0.68,1,240139
129,126,1,2,0,0,0,0,1.7,0,11,0,3.5,5.13,0,86600
121,111,2,1,1,1,1,0,4.6,0,8,0,3.2,4.53,2,92962
192,168,4,2,1,1,1,1,6.8,1,22,0,4.3,5.56,1,165594
202,193,3,3,0,0,1,0,0.3,0,11,0,2.4,1.02,1,163867
270,245,4,5,1,1,1,0,0.1,1,15,0,5.9,3.90,1,230019
155,151,2,3,0,0,0,0,3.2,0,16,0,2.4,0.65,0,107775
256,253,4,3,1,1,0,1,1.4,1,18,0,3.7,1.60,0,218635
326,318,5,4,1,1,1,1,4.5,1,16,0,1.2,3.42,0,266852
371,334,6,6,1,1,1,1,5.6,1,20,0,3.6,5.40,1,299188
210,182,4,4,1,1,1,1,0.6,0,9,0,4.4,1.43,0,184745
185,184,2,1,0,0,0,0,3.8,0,9,0,2.5,2.35,1,123228
158,137,3,4,0,0,0,1,6.6,1,16,0,4.2,3.71,1,123849
126,118,1,2,0,0,0,0,1.5,0,19,0,3.1,0.95,1,93285
214,187,4,5,0,1,1,1,4.5,1,20,0,0.7,3.17,1,198485
133,131,2,3,1,0,0,0,1.5,0,14,0,6.3,5.79,2,91774
294,263,4,3,1,1,1,1,3.4,0,8,0,5.9,0.92,0,240268
275,237,4,2,1,1,1,1,2.8,1,11,0,3.4,0.75,1,252453
347,347,5,3,1,0,1,1,4.5,1,5,0,0.6,3.16,0,280575
186,166,3,1,0,0,0,0,4.7,0,5,0,1.6,5.59,0,120711
335,288,5,2,1,1,1,1,0.6,1,5,0,1.9,2.39,1,301216
488,474,7,5,1,1,0,1,6.3,1,15,0,2.6,3.25,3,391633
236,225,3,2,1,1,0,0,1.2,0,11,0,4.9,5.68,0,162387
230,219,3,1,0,1,0,0,2.3,1,12,0,3.8,4.05,1,176992
210,188,3,1,1,1,1,0,4.1,0,4,0,6.5,1.19,0,156943
507,507,7,7,1,1,1,1,4.1,1,10,0,2.8,3.82,2,412984
126,125,2,1,0,0,0,0,1.6,1,14,0,0.4,5.90,2,105075
279,252,4,5,1,1,1,1,3.3,1,9,0,3.1,0.88,1,243798
349,344,5,2,1,0,1,1,5.7,1,17,0,0.6,1.61,0,270197
230,208,5,3,1,1,1,1,3.2,1,16,0,5.5,3.94,1,205747
279,266,4,2,1,1,1,1,2.8,1,2,0,3.4,5.03,1,250027
183,181,2,2,0,0,0,1,2.2,0,8,0,1.3,0.22,0,150339
229,209,3,1,1,1,0,0,5.8,0,15,0,3.9,0.70,1,158692
220,220,4,4,1,1,1,1,0.6,1,1,0,0.9,3.31,1,213757
225,218,3,1,0,1,0,1,2.9,0,12,0,1.3,0.05,1,187490
220,208,3,4,0,0,1,0,6.1,0,9,0,1.3,5.51,0,147799
141,129,1,2,0,1,0,0,3.4,0,6,0,2.4,0.87,1,110770
300,300,4,4,0,0,1,1,5.4,0,8,0,3.2,1.90,0,214089
295,256,5,5,1,1,1,1,2.3,1,9,0,6.7,5.14,1,257101
258,252,4,2,1,1,1,1,2.1,1,16,0,0.6,4.12,1,231531
232,227,3,4,1,0,0,0,5.7,1,14,0,2.3,2.38,1,180936
211,210,4,3,1,1,1,1,1.7,1,18,0,0.4,0.49,0,200912
213,208,4,3,1,1,1,1,2.2,1,3,0,0.9,2.10,1,203087
228,221,4,5,1,1,0,1,6.7,1,16,0,2.6,2.42,0,190587
123,107,1,1,0,0,0,0,3.7,0,19,0,5.4,5.48,0,74588
219,208,3,4,0,1,0,0,5.7,1,6,0,4.3,3.58,1,160441
206,197,3,2,1,0,1,0,1.6,1,1,0,6.3,4.36,1,168807
278,251,4,2,1,1,1,1,0.1,0,15,0,2.9,4.50,1,224582
306,262,4,5,1,1,0,1,2.9,1,18,0,4.3,1.58,1,250645
232,217,3,4,0,1,1,0,5.1,1,20,0,2.6,2.26,0,181021
235,214,3,1,0,0,1,0,0.1,0,12,0,2.3,4.86,0,177385
264,245,4,2,1,1,1,1,1.2,1,17,0,4.2,3.51,1,225428
159,151,3,3,1,1,0,0,5.4,1,2,0,4.4,2.10,1,134211
116,111,1,2,0,0,0,0,2.2,1,15,0,0.7,4.83,1,95184
203,192,4,5,1,1,0,1,1.8,1,6,0,5.5,0.32,1,188579
212,192,4,3,1,1,1,0,2.3,1,19,0,3.9,2.98,0,177919
232,220,3,2,0,1,1,0,4.2,0,22,0,1.7,3.30,1,165869
144,127,2,2,0,1,0,0,4.3,0,4,0,3.4,0.35,1,105738
216,211,3,4,1,0,0,1,5.4,0,9,0,6.3,4.49,0,162384
178,178,3,1,0,0,0,1,5.8,1,8,0,2.6,1.19,1,149631
221,193,3,2,1,0,0,0,2.1,1,5,0,3.6,4.19,1,173453
277,248,4,3,1,1,1,0,0.2,1,2,0,6.4,4.54,0,232985
293,290,5,5,0,1,0,1,3.9,1,17,0,0.1,0.07,1,250231
223,211,3,2,1,1,0,0,6.2,0,4,0,5.9,0.15,1,158486
208,178,4,2,1,1,1,1,0.7,1,12,0,2.9,4.46,0,199055
281,246,4,3,1,1,1,0,5.6,1,8,0,5.5,4.64,0,217036
235,205,5,2,1,1,1,1,5.1,1,9,0,0.9,4.44,0,206962
137,137,1,1,1,0,0,0,5.9,0,15,0,0.9,4.86,0,89735
267,266,4,2,1,0,1,1,5.4,1,7,0,5.5,5.74,0,211921
246,216,4,3,1,1,1,1,1.5,1,2,0,1.7,5.28,1,227213
212,209,3,2,1,0,0,0,3.3,0,5,0,6.1,5.85,0,144360
196,181,4,3,0,1,1,0,2.2,0,22,0,2.7,1.03,0,148155
258,244,5,5,1,1,1,1,5.3,1,5,0,3.6,0.41,1,234734
217,193,4,3,1,1,0,1,5.6,0,2,0,4.6,1.71,0,165913
309,282,4,4,1,1,0,1,5.8,1,12,0,0.5,1.93,1,269363
230,201,3,4,0,1,0,0,5.7,1,3,0,1.1,0.10,0,177883
274,248,5,5,1,1,1,1,3.3,1,12,0,2.1,0.43,0,243876
161,161,3,4,1,0,0,1,2.1,1,16,0,1.2,2.94,0,145070
306,302,5,4,1,1,1,1,2.5,1,20,0,2.1,5.42,1,251294
111,111,1,2,1,0,0,0,2.6,0,21,1,4.1,4.48,0,85197
157,155,2,1,1,0,0,1,4.6,0,2,0,0.8,5.54,2,130667
131,113,2,3,0,0,0,1,2.4,0,11,0,6.4,1.70,2,110035
123,113,2,2,0,1,0,0,4.8,0,3,0,6.7,1.84,1,89665
190,189,4,5,1,1,1,1,3.1,1,12,0,1.8,0.38,0,174947
266,242,4,3,1,1,1,0,4.9,1,3,0,0.6,2.72,0,218217
200,193,4,4,0,1,1,1,0.8,1,10,0,5.5,3.63,0,183451
258,258,5,2,1,1,1,1,2.9,0,19,0,2.7,1.58,0,199685
471,403,8,8,1,1,1,1,3.9,1,7,0,2.6,2.99,3,392630
207,190,3,2,0,0,1,0,6.9,1,21,0,1.4,4.03,0,148489
251,244,4,4,1,1,0,1,2.5,1,8,0,0.7,4.87,0,219204
242,234,4,3,0,1,1,1,0.4,1,19,0,2.5,0.69,1,223734
354,305,5,2,1,1,1,1,6.1,1,21,0,4.7,2.97,1,281686
293,274,5,5,1,1,1,1,0.1,1,4,0,0.8,5.08,1,280413
165,164,3,2,0,0,1,0,5.1,1,9,1,3.6,1.01,0,144414
145,136,2,2,1,1,0,0,6.6,0,3,0,6.9,2.37,0,103089
216,205,4,3,1,1,1,1,6.5,1,16,0,4.9,1.90,1,190030
192,185,4,3,0,1,1,1,6.1,1,10,0,1.6,3.42,1,169506
238,210,5,3,1,1,1,1,4.6,1,11,0,5.3,2.64,1,211673
169,145,3,4,1,0,0,1,2.2,1,5,0,4.4,1.87,1,153349
113,107,1,1,0,1,0,1,3.3,0,18,0,2.5,2.85,0,97920
215,197,3,4,1,1,1,0,5.2,0,1,0,1.4,1.89,1,171471
258,256,5,3,1,0,1,1,5.1,1,13,0,6.7,2.09,0,208112
285,272,5,2,1,1,1,1,4.5,1,12,0,0.8,5.60,1,240336
165,155,3,3,0,0,0,1,5.8,1,19,0,2.8,0.53,0,135725
278,262,4,2,1,1,1,1,4.3,1,12,0,0.4,4.64,1,240832
129,111,1,1,0,0,0,0,2.5,0,22,0,0.9,0.96,0,94593
201,201,4,5,1,0,1,1,3.5,1,10,0,4.4,2.53,0,174635
287,284,5,5,1,0,1,1,2.1,1,10,0,5.8,5.16,0,237630
191,186,3,1,1,0,0,0,6.6,1,9,1,2.4,0.92,1,173289
166,152,2,1,0,0,0,1,2.4,0,1,0,2.1,2.20,0,129806
178,163,2,2,0,1,0,1,5.5,0,1,0,2.4,2.54,2,146506
169,156,3,2,1,1,0,0,4.8,1,8,0,3.3,1.87,1,142197
232,200,3,3,0,1,0,0,1.4,0,16,0,6.8,2.29,0,157665
314,304,5,2,0,1,1,0,4.9,1,5,0,4.1,5.66,0,237665
288,254,4,3,1,1,1,1,6.3,1,9,0,0.8,3.68,0,249382
340,290,5,3,1,1,1,1,1.9,1,7,0,4.1,3.22,0,290142
